tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
332,14299.6,8156.337,20067.002,8532.199,20067.002,8532.199,120.745,241.49,170.759,0.4,2,241.49,-0.575,1.414
333,10256.375,9423.676,3592.829,16919.92,16919.92,3592.829,120.262,240.524,170.076,0.4,2,240.524,3.709,1.414
341,998.397,149.001,872.978,1018.23,1201.034,872.978,80.892,138.856,61.708,0.6,4,107.856,0.166,0.763
344,32282.48,8180.614,26497.912,38067.047,38067.047,26497.912,237.443,474.886,335.795,0.2,2,474.886,0.437,1.414
348,1387.5,100.872,1566.251,1317.376,1566.251,1154.092,25.046,102.072,27.962,3.0,15,26.835,-0.159,1.116
349,5187.246,1784.187,6448.857,3925.636,6448.857,3925.636,97.558,195.116,137.968,0.2,2,195.116,-0.391,1.414
350,3955.686,843.238,3913.318,4819.31,4819.31,3134.431,126.125,221.593,113.933,0.4,3,189.187,0.232,0.903
351,4587.229,550.422,3706.792,4797.71,5395.656,3706.792,109.265,234.292,80.084,2.6,14,117.67,0.294,0.733
352,5513.423,592.649,5335.591,5650.896,6622.327,4938.338,97.063,273.113,94.576,2.2,9,109.196,0.059,0.974
354,5150.516,570.379,4771.006,5756.577,5756.577,4468.337,45.094,92.243,41.039,0.8,5,56.368,0.207,0.91
355,5303.825,497.766,5371.012,5928.482,5928.482,4621.346,92.121,230.835,79.331,1.0,6,110.545,0.104,0.861
356,5060.852,924.491,6128.337,4533.49,6128.337,4520.73,40.482,74.141,37.538,0.4,3,60.723,-0.26,0.927
357,5266.065,1065.649,5591.029,3341.497,6419.219,3341.497,100.685,209.635,80.408,1.2,6,120.822,-0.402,0.799
358,5945.52,325.909,6022.341,5588.064,6226.155,5588.064,84.3,133.315,73.328,0.4,3,126.449,-0.072,0.87
359,5601.239,791.135,7661.868,5375.815,7661.868,4718.377,99.339,225.886,66.716,1.8,10,110.376,-0.298,0.672
360,5595.833,752.372,5057.939,5829.229,6556.794,4939.371,125.467,229.006,98.503,0.8,4,167.289,0.152,0.785
361,5238.465,876.154,4242.769,5612.894,6248.506,4242.769,37.985,97.603,44.052,0.6,4,50.646,0.323,1.16
362,5142.048,1393.412,6749.759,4393.373,6749.759,4283.011,85.518,199.521,102.765,0.4,3,128.278,-0.349,1.202
363,5706.731,673.35,5974.577,5794.239,7292.847,4834.129,80.492,162.086,48.792,2.8,12,87.809,-0.03,0.606
364,1178.294,305.285,922.735,1516.35,1516.35,922.735,50.145,92.312,46.67,0.6,3,75.218,0.643,0.931
365,3491.973,550.87,4472.076,3699.668,4891.847,2025.472,48.739,229.47,37.005,25.0,126,49.129,-0.173,0.759
366,1045.958,32.173,1033.852,1046.687,1094.648,995.967,41.514,106.834,35.95,1.0,6,49.817,0.012,0.866
370,20454.899,10580.738,12973.188,27936.61,27936.61,12973.188,94.802,189.604,134.07,0.8,2,189.604,1.153,1.414
382,23408.507,1695.345,24607.297,22209.717,24607.297,22209.717,239.59,479.18,338.832,0.4,2,479.18,-0.097,1.414
383,13365.656,3286.978,11853.035,11631.719,19729.738,10795.922,182.484,297.745,116.829,1.2,6,218.981,-0.019,0.64
384,1168.71,164.17,582.479,1393.779,1393.779,582.479,17.669,60.871,17.424,3.6,19,18.651,1.393,0.986
385,11755.706,61.194,11712.436,11798.977,11798.977,11712.436,153.426,306.853,216.978,0.2,2,306.853,0.007,1.414
389,15588.084,130.279,15680.206,15495.963,15680.206,15495.963,163.508,327.017,231.236,0.4,2,327.017,-0.012,1.414
390,12655.168,2992.235,10539.338,14770.998,14770.998,10539.338,58.407,116.814,82.6,0.4,2,116.814,0.402,1.414
391,17760.33,131.77,17637.53,17743.926,17899.533,17637.53,151.503,321.786,161.713,1.8,3,227.255,0.006,1.067
392,16797.553,3250.067,20022.854,16846.533,20022.854,13523.273,146.506,270.908,136.8,0.4,3,219.758,-0.159,0.934
393,21417.224,2691.717,19513.893,23320.555,23320.555,19513.893,82.045,164.089,116.029,1.2,2,164.089,0.195,1.414
395,634.995,40.476,642.155,581.95,695.716,581.95,31.166,74.978,27.97,1.6,8,35.618,-0.094,0.897
397,471.793,48.674,557.637,437.027,557.637,437.027,19.41,50.044,18.962,0.8,5,24.263,-0.216,0.977
