tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
0,16137.161,1106.032,17381.664,19297.357,19297.357,14245.393,31.627,70.753,14.486,8.8,45,34.928,5.614,12.166,170.522,252.645,0.138,0.934,0,32.345,0.11,0.458
1,53170.911,13195.719,28093.484,18863.68,80168.125,18863.68,74.715,203.74,41.86,8.8,45,21.095,13.359,40.678,208.742,601.153,0.035,0.887,0,76.413,-0.329,0.56
2,4836.515,1134.207,2962.052,3949.324,7493.153,2628.846,58.76,179.644,41.181,24.6,124,1079.017,10.45,31.22,170.914,1295.804,0.833,0.809,0,59.238,0.333,0.701
3,1708.602,489.588,1998.59,744.752,2543.183,744.752,28.871,121.86,31.73,5.0,25,199.85,5.456,24.376,148.103,136.401,1.465,0.684,0,30.074,-0.627,1.099
4,1392.332,288.185,1324.518,2316.798,2316.798,860.047,40.263,171.099,40.294,5.4,28,248.516,7.372,30.287,116.123,206.407,1.204,0.79,0,41.754,0.749,1.001
5,453.626,62.489,527.489,400.554,553.745,400.14,53.359,115.549,43.499,2.0,7,46.69,10.52,23.399,141.172,73.643,0.634,0.424,0,62.252,-0.241,0.815
6,1239.85,513.011,704.336,1288.293,1726.922,704.336,59.655,128.222,64.574,0.4,3,8.544,11.635,23.829,166.636,34.904,0.245,0.713,0,89.483,0.829,1.082
7,852.805,175.198,976.689,728.921,976.689,728.921,27.233,54.467,38.514,0.2,2,10.198,4.942,9.883,174.489,9.883,1.032,0.796,0,54.467,-0.254,1.414
8,758.279,109.269,576.922,739.889,899.376,576.922,75.095,180.273,63.686,3.0,6,72.201,14.113,35.212,145.253,84.677,0.853,0.587,0,90.114,0.282,0.848
9,992.992,52.273,987.826,1047.657,1047.657,943.494,50.489,86.616,45.059,0.4,3,19.723,9.737,16.251,91.43,29.21,0.675,0.482,0,75.733,0.061,0.892
