tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
1489,10742.451,1240.521,10058.68,6302.849,13490.668,6302.849,70.72,215.247,42.471,8.0,41,520.173,12.687,37.703,169.036,520.173,1.0,0.914,0,72.488,-0.373,0.601
1494,14371.529,2431.292,21765.16,13606.091,21765.16,10959.341,115.395,295.08,62.892,9.2,47,965.351,20.539,51.588,182.589,965.351,1.0,0.905,0,117.904,-0.375,0.545
1499,1761.582,212.656,1911.953,1611.211,1911.953,1611.211,98.934,197.868,139.914,0.2,2,38.622,19.311,38.622,161.988,38.622,1.0,0.554,0,197.868,-0.157,1.414
1501,816.897,100.729,716.632,918.083,918.083,716.632,31.229,51.236,27.4,0.4,3,18.375,6.125,10.666,124.138,18.375,1.0,0.799,0,46.844,0.281,0.877
1502,642.778,148.709,661.576,514.082,824.292,486.097,71.853,182.666,61.686,1.8,6,84.212,14.035,36.219,139.762,84.212,1.0,0.562,0,86.224,-0.223,0.859
1504,999.35,119.361,904.275,1104.128,1144.12,876.941,56.254,84.668,32.573,0.8,5,53.219,10.644,16.794,163.421,53.219,1.0,0.482,0,70.318,0.221,0.579
1505,487.901,71.944,538.773,437.029,538.773,437.029,68.759,137.519,97.24,0.8,2,28.079,14.04,28.079,69.341,28.079,1.0,0.434,0,137.519,-0.189,1.414
1506,1046.112,225.44,830.233,1001.693,1371.283,830.233,41.598,73.277,28.193,1.0,5,41.888,8.378,14.799,114.844,41.888,1.0,0.583,0,51.997,0.207,0.678
1507,922.222,40.199,893.796,950.647,950.647,893.796,88.422,176.844,125.047,0.2,2,34.533,17.266,34.533,104.277,34.533,1.0,0.675,0,176.844,0.064,1.414
1508,235.214,49.047,318.772,205.177,318.772,202.481,3.981,7.668,3.166,0.8,5,5.726,1.145,1.698,98.658,5.726,1.0,0.461,0,4.977,-0.356,0.795
1515,510.139,41.688,558.274,485.72,558.274,485.72,8.482,15.514,7.858,0.4,3,4.837,1.612,3.44,168.276,4.837,1.0,0.642,0,12.723,-0.13,0.926
1517,1186.352,189.728,1240.348,1109.651,1586.83,885.131,38.708,161.076,42.853,2.4,13,94.278,7.252,29.409,96.796,94.278,1.0,0.827,0,41.934,-0.105,1.107
1518,3749.218,4300.123,1500.448,906.386,10127.27,906.386,77.66,127.202,54.509,1.0,4,60.63,15.158,24.894,114.24,60.63,1.0,0.7,0,103.547,-0.396,0.702
1520,18513.612,3466.345,21649.326,13816.564,21649.326,13816.564,177.72,325.234,139.494,0.6,4,133.391,33.348,61.987,158.53,133.391,1.0,0.808,0,236.96,-0.362,0.785
1522,1281.709,359.142,1471.206,867.506,1506.416,867.506,79.891,145.037,73.634,1.0,3,43.552,14.517,24.51,124.419,43.552,1.0,0.738,0,119.837,-0.41,0.922
1523,18366.892,14959.215,2787.421,1474.0,32408.531,1474.0,154.727,261.667,103.119,2.4,5,146.064,29.213,46.363,138.196,146.064,1.0,0.734,0,193.408,-0.471,0.666
1528,805.352,177.494,930.86,679.845,930.86,679.845,25.176,50.352,35.604,0.2,2,9.959,4.979,9.959,104.508,9.959,1.0,0.638,0,50.352,-0.27,1.414
1529,1671.17,352.732,1920.589,1421.75,1920.589,1421.75,15.589,31.178,22.046,0.4,2,5.37,2.685,5.37,167.033,5.37,1.0,0.405,0,31.178,-0.26,1.414
1530,11091.796,11592.782,19289.13,2894.461,19289.13,2894.461,55.605,111.21,78.638,0.2,2,21.187,10.594,21.187,6.925,21.187,1.0,0.53,0,111.21,-0.85,1.414
1537,28927.67,4766.263,20726.111,35791.19,35791.19,20726.111,271.997,483.487,133.46,1.8,10,493.113,49.311,85.474,124.007,493.113,1.0,0.76,0,302.219,0.727,0.491
1552,24824.708,3097.443,27571.56,17422.371,27571.56,17422.371,159.54,457.952,136.257,1.8,10,296.444,29.644,89.924,164.301,296.444,1.0,0.923,0,177.266,-0.368,0.854
1553,395.466,61.638,413.195,297.572,449.2,297.572,13.021,21.762,8.896,0.8,5,12.244,2.449,4.406,51.18,12.244,1.0,0.38,0,16.276,-0.28,0.683
1554,1185.154,240.247,1462.564,1150.795,1514.825,891.708,26.815,77.618,21.134,1.6,9,49.069,5.452,14.89,167.35,49.069,1.0,0.695,0,30.167,-0.213,0.788
1555,3593.668,840.528,3482.893,4914.729,5272.104,2329.144,24.476,115.396,24.12,11.4,58,260.541,4.492,20.475,141.273,260.541,1.0,0.852,0,24.905,0.411,0.985
1556,1082.47,153.06,821.723,687.359,1341.435,687.359,27.366,161.03,32.505,6.6,33,163.886,4.966,29.233,171.501,163.886,1.0,0.818,0,28.221,-0.164,1.188
1557,852.602,108.796,814.886,716.882,1105.597,716.882,11.42,24.06,5.754,3.4,18,39.503,2.195,4.204,135.844,39.503,1.0,0.646,0,12.092,-0.12,0.504
1558,843.909,421.204,690.536,873.109,2530.44,577.485,24.903,107.95,23.736,6.0,30,133.959,4.465,18.675,176.088,133.959,1.0,0.666,0,25.762,0.264,0.953
1559,470.572,76.137,522.058,538.027,592.879,299.524,10.973,29.663,6.419,9.4,44,90.231,2.051,4.866,138.676,90.231,1.0,0.433,0,11.228,0.031,0.585
1560,420.493,72.752,465.842,521.478,663.953,319.159,14.304,94.849,19.017,8.0,31,87.861,2.834,19.87,151.153,87.861,1.0,0.408,0,14.78,0.119,1.33
1562,365.368,32.817,423.058,378.408,423.058,328.594,7.553,17.496,7.201,1.2,7,11.831,1.69,4.06,159.019,11.831,1.0,0.581,0,8.811,-0.106,0.953
1563,1393.404,160.666,1367.476,1657.866,1657.866,1127.84,33.331,89.231,29.047,4.2,15,96.26,6.417,17.743,163.875,96.26,1.0,0.716,0,35.711,0.212,0.871
1564,512.468,16.397,500.873,524.063,524.063,500.873,29.274,58.548,41.4,0.2,2,12.438,6.219,12.438,96.622,12.438,1.0,0.381,0,58.548,0.046,1.414
1565,26795.65,5392.576,22982.523,30608.777,30608.777,22982.523,175.752,351.505,248.551,0.2,2,70.111,35.056,70.111,63.294,70.111,1.0,0.801,0,351.505,0.332,1.414
1569,1565.033,244.271,1737.758,1392.307,1737.758,1392.307,42.369,84.738,59.919,0.4,2,16.114,8.057,16.114,137.007,16.114,1.0,0.461,0,84.738,-0.199,1.414
1570,1400.787,435.401,1092.912,1708.662,1708.662,1092.912,98.419,196.837,139.185,0.4,2,39.292,19.646,39.292,127.714,39.292,1.0,0.376,0,196.837,0.563,1.414
1571,25027.348,8963.268,18689.361,31365.336,31365.336,18689.361,154.126,308.252,217.967,0.2,2,61.625,30.813,61.625,51.97,61.625,1.0,0.885,0,308.252,0.678,1.414
1573,276.695,33.363,258.4,238.033,322.888,238.033,24.404,94.985,39.844,1.6,5,25.65,5.13,19.228,127.953,25.65,1.0,0.446,0,30.505,-0.079,1.633
1574,1569.256,76.141,1623.096,1515.416,1623.096,1515.416,78.39,156.781,110.861,1.4,2,32.095,16.047,32.095,48.861,32.095,1.0,0.453,0,156.781,-0.066,1.414
1579,306.757,57.289,278.959,372.642,372.642,268.67,20.768,43.486,21.809,1.0,3,11.598,3.866,7.99,194.332,11.598,1.0,0.438,0,31.153,0.336,1.05
1583,26911.499,5643.423,30902.002,22920.996,30902.002,22920.996,67.522,135.044,95.49,2.0,2,27.431,13.716,27.431,54.559,27.431,1.0,0.696,0,135.044,-0.258,1.414
1584,1060.033,176.102,1274.766,816.369,1274.766,816.369,70.541,147.752,59.095,0.8,5,68.911,13.782,27.214,118.0,68.911,1.0,0.787,0,88.176,-0.36,0.838
1586,25048.1,2059.882,23591.543,26504.656,26504.656,23591.543,75.974,151.949,107.444,1.6,2,30.334,15.167,30.334,110.273,30.334,1.0,0.66,0,151.949,0.123,1.414
1587,20323.43,8801.656,26380.625,7266.195,26380.625,7266.195,121.017,242.108,100.292,0.6,4,89.88,22.47,42.769,66.663,89.88,1.0,0.561,0,161.356,-0.725,0.829
1589,7905.229,10151.382,2042.908,19627.035,19627.035,2042.908,106.358,172.045,92.954,0.4,3,61.241,20.414,32.868,83.506,61.241,1.0,0.829,0,159.537,8.607,0.874
1590,13674.335,18620.94,26841.328,507.342,26841.328,507.342,103.157,206.314,145.886,0.6,2,41.109,20.555,41.109,33.02,41.109,1.0,0.73,0,206.314,-0.981,1.414
1595,21346.505,4366.09,11545.895,24185.201,24565.838,11545.895,208.411,494.538,145.548,1.4,8,303.926,37.991,87.975,200.214,303.926,1.0,0.786,0,238.184,1.095,0.698
1596,380.838,164.666,222.764,668.481,668.481,222.764,18.303,76.261,24.292,2.0,9,32.671,3.63,14.935,153.531,32.671,1.0,0.677,0,20.591,2.001,1.327
1597,2567.627,392.933,2845.472,2289.781,2845.472,2289.781,115.883,231.765,163.883,0.4,2,46.053,23.026,46.053,120.448,46.053,1.0,0.731,0,231.765,-0.195,1.414
