tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
0,30245.92,3645.125,29374.15,9748.445,34921.305,9748.445,425.071,1152.483,247.24,3.075,76,859.207,11.305,30.213,167.17,859.207,1.0,0.927,0,430.738,-0.668,0.582
1,4587.873,871.504,4850.468,2729.687,5616.745,2729.687,406.422,1142.715,348.308,0.41,11,143.665,13.06,44.846,128.013,143.665,1.0,0.816,0,447.065,-0.437,0.857
3,195.668,31.913,232.512,176.699,232.512,176.699,61.595,115.991,58.33,0.082,3,5.704,1.901,4.129,198.575,5.704,1.0,0.629,0,92.393,-0.24,0.947
4,678.226,116.692,760.74,595.712,760.74,595.712,11.447,22.893,16.188,0.2,2,4.015,2.008,4.015,125.063,4.015,1.0,0.62,0,22.893,-0.217,1.414
5,18824.864,7111.743,5997.824,2972.242,33645.484,2972.242,46.308,161.428,30.168,12.8,65,539.208,8.296,28.264,168.037,539.208,1.0,0.891,0,47.031,-0.504,0.651
6,286.856,28.72,228.649,273.808,350.818,228.649,15.208,59.136,14.929,3.6,19,52.336,2.755,9.649,138.129,52.336,1.0,0.34,0,16.053,0.198,0.982
7,22729.58,3312.885,10493.451,27860.445,28666.033,10493.451,65.156,165.924,38.774,9.0,46,539.227,11.722,33.624,157.59,539.227,1.0,0.87,0,66.604,1.655,0.595
8,1747.698,652.179,2663.745,777.624,2663.745,777.624,24.587,90.348,25.494,1.8,10,46.38,4.638,17.205,134.236,46.38,1.0,0.647,0,27.319,-0.708,1.037
9,15961.093,21603.395,31237.0,685.186,31237.0,685.186,70.013,140.026,99.013,1.2,2,28.105,14.052,28.105,18.263,28.105,1.0,0.484,0,140.026,-0.978,1.414
10,12514.541,16910.238,24471.885,557.197,24471.885,557.197,108.576,217.152,153.55,0.6,2,42.632,21.316,42.632,173.275,42.632,1.0,0.641,0,217.152,-0.977,1.414
