tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle,source_video
370,2,0.4,1200,194,27610.877,0,0.0,0.8535628914833069,1,0,1120.0161,108.64795,1280.0,281.2333,27610.877,0.0,0.0,0.0,0.0,1.avi
371,3,0.6,1182,373,1130.4462,0,0.0,0.691486120223999,1,0,1165.5918,357.10297,1199.4741,390.46686,1130.4462,0.0,0.0,0.0,0.0,1.avi
371,6,1.2,1158,405,997.355,0,199.60978103441727,0.5091044306755066,5,0,1143.4779,388.64224,1173.0907,422.32217,997.355,-20.442741,26.722345,39.7019872115801,231.8350359677741,1.avi
372,6,1.2,1087,432,5127.1064,0,0.0,0.5315536856651306,1,0,1048.1465,400.1664,1126.2607,465.8024,5127.1064,0.0,0.0,0.0,0.0,1.avi
373,7,1.4,940,332,3547.4858,0,0.0,0.8603551387786865,1,0,908.8551,304.49628,971.1603,361.43353,3547.4858,0.0,0.0,0.0,0.0,1.avi
374,7,1.4,919,439,2601.003,0,0.0,0.8291316628456116,1,0,893.08954,414.25107,945.06525,464.29373,2601.003,0.0,0.0,0.0,0.0,1.avi
375,7,1.4,1018,375,3430.7136,0,0.0,0.7809067368507385,1,0,989.3613,346.09283,1047.7745,404.82465,3430.7136,0.0,0.0,0.0,0.0,1.avi
376,7,1.4,985,432,3581.764,0,0.0,0.759882926940918,1,0,956.96313,400.78314,1013.2749,464.3891,3581.764,0.0,0.0,0.0,0.0,1.avi
377,7,1.4,936,383,1505.6155,0,0.0,0.6964560747146606,1,0,915.90576,365.54037,956.7241,402.42612,1505.6155,0.0,0.0,0.0,0.0,1.avi
378,7,1.4,971,385,542.6428,0,0.0,0.6479485034942627,1,0,960.1561,374.23425,983.53015,397.4499,542.6428,0.0,0.0,0.0,0.0,1.avi
379,8,1.6,765,364,680.21313,0,0.0,0.6051102876663208,1,0,752.8041,351.8916,778.9291,377.92847,680.21313,0.0,0.0,0.0,0.0,1.avi
380,8,1.6,812,361,23972.168,0,0.0,0.7257353663444519,1,0,730.7588,288.1974,894.09546,434.96277,23972.168,0.0,0.0,0.0,0.0,1.avi
379,9,1.8,762,345,2494.909,0,100.44178804969276,0.1614873707294464,3,0,738.99866,318.935,786.3534,371.62048,2494.909,-12.736807,-78.3724,20.28200877332281,100.9901793687871,1.avi
381,10,2.0,609,420,16451.674,0,0.0,0.8514652252197266,1,0,546.85187,354.9674,672.67377,485.72107,16451.674,0.0,0.0,0.0,0.0,1.avi
382,11,2.2,524,468,3757.2341,0,0.0,0.8568081855773926,1,0,494.60962,436.90817,554.397,499.7515,3757.2341,0.0,0.0,0.0,0.0,1.avi
383,12,2.4,300,500,21526.309,0,0.0,0.6001250743865967,1,0,224.2286,429.38574,376.5413,570.71545,21526.309,0.0,0.0,0.0,0.0,1.avi
384,13,2.6,74,635,24037.184,0,0.0,0.6428557634353638,1,0,0.112091064,554.6376,148.05856,717.10974,24037.184,0.0,0.0,0.0,0.0,1.avi
385,3,0.6,823,78,2556.9731,0,0.0,0.8286288976669312,1,0,799.4818,52.312546,848.2633,104.729416,2556.9731,0.0,0.0,0.0,0.0,2.avi
386,3,0.6,840,138,677.27704,0,0.0,0.706227719783783,1,0,827.1317,126.03032,853.4994,151.7162,677.27704,0.0,0.0,0.0,0.0,2.avi
385,4,0.8,829,65,1056.984,0,71.93496875148088,0.6385172605514526,3,0,813.7458,48.322044,844.8012,82.35743,1056.984,21.56061,-52.619724,14.460552483010735,69.23221497637564,2.avi
386,4,0.8,815,150,2846.655,0,137.69030950282655,0.4504964649677276,3,0,783.5536,128.66193,847.9912,172.83884,2846.655,-97.97662,47.413643,27.65287494541585,203.7265406330905,2.avi
385,5,1.0,805,57,1375.035,0,144.65772065238536,0.6926633715629578,5,0,787.08685,39.254204,824.83417,75.68157,1375.035,-104.938194,-40.475433,28.668957769630754,184.36943964109247,2.avi
386,5,1.0,772,175,1183.8047,0,149.40986123927766,0.6314074993133545,5,0,751.9764,161.1542,792.289,190.5198,1183.8047,-208.0788,118.86585,28.330045158919496,211.41579384906763,2.avi
387,5,1.0,801,216,3825.5964,0,0.0,0.861266016960144,1,0,769.9165,186.93604,833.8959,246.73026,3825.5964,0.0,0.0,0.0,0.0,2.avi
388,5,1.0,748,130,3591.2095,0,0.0,0.81789231300354,1,0,718.2744,101.16896,779.4502,159.87209,3591.2095,0.0,0.0,0.0,0.0,2.avi
389,5,1.0,844,168,1272.4753,0,0.0,0.7984760403633118,1,0,827.536,150.38852,862.3817,186.90594,1272.4753,0.0,0.0,0.0,0.0,2.avi
390,5,1.0,737,185,1305.0673,0,0.0,0.7210478186607361,1,0,719.82227,167.08484,754.3926,204.83594,1305.0673,0.0,0.0,0.0,0.0,2.avi
391,5,1.0,724,97,691.2098,0,0.0,0.7113520503044128,1,0,710.67664,84.51977,738.1068,109.71865,691.2098,0.0,0.0,0.0,0.0,2.avi
392,5,1.0,742,77,683.9125,0,0.0,0.6787316203117371,1,0,730.7815,63.722748,754.7766,92.2249,683.9125,0.0,0.0,0.0,0.0,2.avi
393,5,1.0,823,117,2802.6262,0,0.0,0.5472303032875061,1,0,797.48535,91.024445,850.2705,144.11942,2802.6262,0.0,0.0,0.0,0.0,2.avi
394,5,1.0,708,145,717.7378,0,0.0,0.5120483040809631,1,0,696.77747,130.84865,721.161,160.28398,717.7378,0.0,0.0,0.0,0.0,2.avi
390,6,1.2,726,163,2687.511,0,125.96727233322406,0.7270812392234802,3,0,704.04987,133.82211,749.8117,192.55026,2687.511,-40.62529,-90.915,25.505964915104467,115.8160512527059,2.avi
394,6,1.2,688,154,1118.1116,0,113.74974864008338,0.2243597209453582,3,0,671.9865,136.89774,704.32855,171.46918,1118.1116,-83.08067,34.399765,22.60168139500684,201.9096566348872,2.avi
395,6,1.2,635,214,7795.018,0,0.0,0.8094302415847778,1,0,589.23157,172.357,682.50183,255.93152,7795.018,0.0,0.0,0.0,0.0,2.avi
396,7,1.4,552,256,1263.6454,0,0.0,0.7077361345291138,1,0,535.54266,237.7096,569.70245,274.70178,1263.6454,0.0,0.0,0.0,0.0,2.avi
397,8,1.6,363,354,24744.531,0,0.0,0.8652107119560242,1,0,295.17688,263.32654,431.3341,445.06152,24744.531,0.0,0.0,0.0,0.0,2.avi
398,8,1.6,404,346,2557.2546,0,0.0,0.5031532645225525,1,0,381.16278,318.82004,427.2884,374.26114,2557.2546,0.0,0.0,0.0,0.0,2.avi
399,9,1.8,154,491,25568.713,0,0.0,0.9114271998405457,1,0,70.56082,415.6657,238.93973,567.51794,25568.713,0.0,0.0,0.0,0.0,2.avi
400,9,1.8,140,451,3301.9148,0,0.0,0.628136396408081,1,0,113.48897,421.04956,167.72585,481.92908,3301.9148,0.0,0.0,0.0,0.0,2.avi
401,11,2.2,583,910,1604.8535,0,0.0,0.7257181406021118,1,0,563.1869,890.549,604.11536,929.7602,1604.8535,0.0,0.0,0.0,0.0,2.avi
402,6,1.2,657,501,3212.407,0,0.0,0.8584226369857788,1,0,628.916,473.4278,685.3314,530.3698,3212.407,0.0,0.0,0.0,0.0,3.avi
403,7,1.4,601,493,1273.0201,0,0.0,0.761087954044342,1,0,582.78516,476.01154,619.9441,510.27032,1273.0201,0.0,0.0,0.0,0.0,3.avi
403,8,1.6,572,473,2509.6838,0,175.76448315896516,0.7385266423225403,3,0,547.19556,448.78372,598.26306,497.9282,2509.6838,-114.31258,-78.9819,35.60812003439017,145.55412601114108,3.avi
403,9,1.8,533,455,2898.7622,0,88.47353880443879,0.8333337306976318,5,0,506.23474,428.10117,559.9092,482.1075,2898.7622,-191.21829,-90.22469,17.05992557374748,171.3710981990357,3.avi
403,10,2.0,522,457,2691.4084,0,191.79400543005636,0.7185694575309753,7,0,497.89615,430.10272,547.70636,484.136,2691.4084,-83.94737,-13.298561,33.70354401202408,323.72600287980777,3.avi
403,11,2.2,497,435,2922.4915,0,118.36666643585887,0.6318066120147705,9,0,471.90408,406.89386,523.4532,463.58722,2922.4915,-115.93327,-87.069305,21.445054843966812,114.84888657306794,3.avi
403,12,2.4,462,388,3735.805,0,179.1985684586375,0.8808872103691101,11,0,433.10132,356.91278,492.479,419.82874,3735.805,-160.9452,-200.3736,32.33700125777302,112.72489375365508,3.avi
403,13,2.6,420,364,2528.5337,0,109.44405459005075,0.4043878316879272,13,0,397.2216,337.60867,443.72812,391.97806,2528.5337,-199.8914,-136.92416,18.94724470915887,235.97821955598403,3.avi
404,15,3.0,319,394,1586.4833,0,0.0,0.6524091958999634,1,0,300.06976,374.1116,339.81256,414.03036,1586.4833,0.0,0.0,0.0,0.0,3.avi
405,0,0.0,656,42,1166.2328,0,0.0,0.583608865737915,1,0,639.30115,25.870152,673.4159,60.055744,1166.2328,0.0,0.0,0.0,0.0,4.avi
405,1,0.2,637,67,1335.2646,0,156.90943299505628,0.275101363658905,3,0,618.72205,49.222023,655.5222,85.50626,1335.2646,-76.79188,97.40996,30.86312026564265,231.15336326732373,4.avi
405,2,0.4,644,83,1571.9989,0,118.95941499416996,0.7623921036720276,5,0,625.11646,63.61839,663.69653,104.36481,1571.9989,26.892128,84.33867,22.566443042926995,9.813179547091408,4.avi
405,3,0.6,631,84,1104.042,0,138.90669153721993,0.7285970449447632,7,0,614.82306,67.4031,647.26227,101.43731,1104.042,-44.98091,21.297745,25.241041224180695,138.09222947100795,4.avi
405,4,0.8,643,91,801.65594,0,120.66662523614366,0.3188857436180115,9,0,628.8123,77.99338,657.4787,105.95842,801.65594,36.005753,33.94967,21.081563637044933,353.6812067021056,4.avi
405,5,1.0,618,100,832.691,0,180.4012301309344,0.7492499351501465,11,0,603.92175,85.997665,633.02966,114.604706,832.691,-86.58804,39.855522,32.370215630143,182.18502771615093,4.avi
406,7,1.4,682,151,1310.647,0,0.0,0.8462912440299988,1,0,664.9601,133.38704,700.78235,169.97453,1310.647,0.0,0.0,0.0,0.0,4.avi
407,7,1.4,768,131,868.59454,0,0.0,0.613210916519165,1,0,755.09814,115.658936,782.86475,146.94092,868.59454,0.0,0.0,0.0,0.0,4.avi
406,8,1.6,693,134,1937.305,0,101.1134487197146,0.8742110729217529,3,0,670.1189,113.679855,716.46094,155.48433,1937.305,41.59172,-68.25823,20.37651754429453,60.19291784884865,4.avi
406,9,1.8,680,156,2000.7775,0,215.88052586720465,0.8664353489875793,5,0,657.8645,134.54042,703.23083,178.64317,2000.7775,-54.84758,95.03959,41.19213497960938,238.3605066421682,4.avi
406,10,2.0,652,205,2082.7144,0,192.73210392463656,0.8556908965110779,7,0,629.1696,183.01715,675.38116,228.08633,2082.7144,-121.200195,209.89986,34.25444740217826,239.1252342846197,4.avi
408,11,2.2,613,193,2125.0986,0,0.0,0.8499230742454529,1,0,587.32935,172.69351,639.6096,213.3417,2125.0986,0.0,0.0,0.0,0.0,4.avi
408,12,2.4,615,184,3632.744,0,43.932491829495895,0.8762364983558655,3,0,586.83,153.50816,645.09454,215.85728,3632.744,9.951385,-33.272964,9.146570378434165,80.36724474829987,4.avi
408,13,2.6,636,192,2277.6235,0,123.44408672648422,0.7089695930480957,5,0,613.0967,168.38359,660.23486,216.70161,2277.6235,95.64146,33.190613,22.823726127912508,322.2538629186671,4.avi
409,22,4.4,513,242,1544.7349,0,0.0,0.5530679821968079,1,0,495.39844,221.2966,532.14526,263.33383,1544.7349,0.0,0.0,0.0,0.0,4.avi
409,23,4.6,542,244,1831.3472,0,143.76187543465568,0.8684614300727844,3,0,518.8729,224.44164,565.4977,263.72006,1831.3472,113.42696,7.0484753,28.27838249002432,356.5843800268956,4.avi
410,24,4.8,510,277,2532.047,0,0.0,0.8552271127700806,1,0,484.96222,252.64813,536.75995,301.5315,2532.047,0.0,0.0,0.0,0.0,4.avi
411,24,4.8,526,248,269.6168,0,0.0,0.517427921295166,1,0,518.94,240.46027,534.78986,257.47095,269.6168,0.0,0.0,0.0,0.0,4.avi
410,25,5.0,491,297,2001.968,0,141.97574677713442,0.8625342845916748,3,0,469.83167,274.41245,513.2029,320.57138,2001.968,-77.22081,81.44551,28.122556678834165,225.07073902234464,4.avi
410,26,5.2,445,305,1827.8733,0,165.7108083754102,0.8532394170761108,5,0,425.42746,282.41385,465.4778,328.05325,1827.8733,-217.43584,42.305668,32.290011733035044,164.2201484162107,4.avi
410,27,5.4,400,318,1658.2681,0,26.473012165507907,0.85857093334198,7,0,380.10052,297.6301,420.51288,338.6638,1658.2681,-223.79683,59.379326,4.732743621988828,245.46251262957563,4.avi
410,28,5.6,382,340,1534.6913,0,164.07435864281786,0.8450679779052734,9,0,363.26044,320.43015,402.31494,359.7263,1534.6913,-119.237274,97.97612,28.271685322688118,339.33493290723,4.avi
410,29,5.8,346,368,1459.757,0,84.85644095613453,0.8263636827468872,11,0,327.1586,349.11115,365.76797,386.91956,1459.757,-167.23073,130.06384,15.387713485532007,212.75977779398744,4.avi
410,30,6.0,325,384,1522.8651,0,88.89060546203741,0.8429921269416809,13,0,306.21014,364.88763,344.92206,404.22607,1522.8651,-118.96685,93.63701,15.625351094741896,39.92500730286372,4.avi
412,30,6.0,1078,359,587.2117,0,0.0,0.5367036461830139,1,0,1066.399,347.31708,1089.9777,372.2215,587.2117,0.0,0.0,0.0,0.0,4.avi
410,31,6.2,313,397,1788.1036,0,74.7233770615864,0.8683993220329285,15,0,292.69138,375.54944,334.2009,418.62634,1788.1036,-74.07165,69.80621,12.866357194803928,29.237063902571208,4.avi
410,32,6.4,283,404,2197.6228,0,94.68469390772351,0.8754427433013916,17,0,260.38504,380.386,306.1362,428.42023,2197.6228,-133.18854,44.24591,17.147700165867203,155.72709532897056,4.avi
413,32,6.4,1206,660,1310.1218,0,0.0,0.657305121421814,1,0,1188.7028,641.6461,1224.3656,678.38245,1310.1218,0.0,0.0,0.0,0.0,4.avi
414,32,6.4,1070,471,1560.9572,0,0.0,0.618956983089447,1,0,1052.7422,450.2591,1088.7246,493.6402,1560.9572,0.0,0.0,0.0,0.0,4.avi
410,33,6.6,244,404,2029.5426,0,86.82322918826816,0.8620986938476562,19,0,222.26271,381.13986,265.8818,427.6686,2029.5426,-181.45786,10.21674,15.650657462328311,143.75951411512688,4.avi
410,34,6.8,219,417,1738.0587,0,90.9556413906381,0.7862100601196289,21,0,198.91545,396.35983,240.03877,438.62436,1738.0587,-136.47389,52.693485,15.402179194135366,316.75450442801326,4.avi
410,35,7.0,175,447,1590.7678,0,146.23047848045593,0.8632054328918457,23,0,154.92375,428.1574,195.7324,467.13855,1590.7678,-201.29456,128.14029,25.59420273445113,227.8296850446972,4.avi
415,35,7.0,1066,666,3579.6921,0,0.0,0.5494855046272278,1,0,1035.7147,636.6199,1096.3868,695.6205,3579.6921,0.0,0.0,0.0,0.0,4.avi
410,36,7.2,153,456,1284.6366,0,139.21142796847838,0.818500280380249,25,0,135.21014,438.8944,171.31375,474.47638,1284.6366,-131.32596,64.333405,24.899317202320933,43.93449823114884,4.avi
415,36,7.2,1035,701,2255.446,0,236.9671422829273,0.8526691794395447,3,0,1010.454,678.44434,1059.6708,724.271,2255.446,-123.70644,140.66867,46.69853299039077,228.32382369643355,4.avi
410,37,7.4,133,470,1825.5122,0,37.05012944940934,0.4191582798957824,27,0,111.76911,449.16364,155.27678,491.122,1825.5122,-106.22652,66.60543,6.019938504221181,355.7327400405437,4.avi
415,37,7.4,1011,716,2736.7603,0,66.46645027526051,0.8552674055099487,5,0,986.1181,690.3691,1037.8008,743.3223,2736.7603,-116.20437,82.76251,13.508467463808188,87.11901753347513,4.avi
410,38,7.6,120,482,1466.3728,0,48.887247984289374,0.3540235459804535,29,0,100.24716,465.09552,141.55658,500.59283,1466.3728,-73.05816,64.22204,7.8598792996089,10.733983125015412,4.avi
415,38,7.6,991,731,2865.9202,0,18.63741734072295,0.8650988936424255,7,0,964.7401,704.8899,1018.35767,758.34106,2865.9202,-105.35066,75.9262,3.3100254385244736,46.42927690783336,4.avi
410,39,7.8,110,491,1631.6863,0,30.40482155572294,0.7369319200515747,31,0,89.56024,472.23306,130.84023,511.76035,1631.6863,-58.020493,50.023197,5.978736947670448,51.64787773807655,4.avi
415,39,7.8,945,728,2242.9907,0,172.17334700859018,0.4477935433387756,9,0,922.57214,704.78674,969.0338,753.063,2242.9907,-200.06638,7.311363,31.66440082792134,143.57646633340295,4.avi
410,40,8.0,101,501,1372.0836,0,15.94306964493745,0.5453681349754333,33,0,82.72799,482.58014,119.79871,519.5927,1372.0836,-47.762505,46.504417,2.604081385558444,22.614454554894,4.avi
415,40,8.0,905,741,1756.5044,0,62.5305569888317,0.3463992476463318,11,0,883.8933,720.7836,926.43274,762.0749,1756.5044,-202.47672,49.78569,10.642192129478014,265.74462257161986,4.avi
415,41,8.2,840,752,2077.0767,0,139.642916713639,0.2150573134422302,13,0,816.5443,730.8357,863.4939,775.0763,2077.0767,-297.27625,55.822334,24.67529360540096,181.42488827818704,4.avi
415,42,8.4,804,772,2084.0046,0,143.91337500556523,0.7514274716377258,15,0,780.62573,750.5296,828.8043,793.78534,2084.0046,-204.3922,86.7322,24.7252956993937,341.41673920632604,4.avi
416,0,0.0,1041,249,29007.857,0,0.0,0.7799738645553589,1,0,946.3208,173.13623,1136.2656,325.85352,29007.857,0.0,0.0,0.0,0.0,6.avi
416,1,0.2,1045,241,21475.34,0,45.81332451437542,0.8933793902397156,3,0,969.9138,169.88045,1120.3252,312.65784,21475.34,15.274712,-32.837276,9.26839461593819,66.42567105557362,6.avi
416,2,0.4,1004,205,24584.232,0,275.0118627352716,0.8987434506416321,5,0,923.3685,129.35214,1085.6129,280.8781,24584.232,-184.75851,-168.31784,53.231292837765466,146.08420074115696,6.avi
416,3,0.6,977,138,21563.29,0,189.26246599632665,0.9155604243278505,7,0,901.8042,67.74397,1053.1699,210.2022,21563.29,-146.60956,-292.86658,34.76372986975528,74.20767078066814,6.avi
417,3,0.6,1230,476,16012.342,0,0.0,0.6273453235626221,1,0,1182.2267,394.50684,1279.4095,559.2719,16012.342,0.0,0.0,0.0,0.0,6.avi
