tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
371,1063.901,94.11,1130.446,997.355,1130.446,997.355,99.805,199.61,141.145,0.6,2,39.702,19.851,39.702,115.918,39.702,1.0,0.6,0,199.61,-0.118,1.414
379,1587.561,1283.184,680.213,2494.909,2494.909,680.213,50.221,100.442,71.023,0.2,2,20.282,10.141,20.282,50.495,20.282,1.0,0.383,0,100.442,2.668,1.414
385,1662.997,790.369,2556.973,1375.035,2556.973,1056.984,72.198,144.658,72.329,0.4,3,43.13,14.377,28.669,84.534,43.13,1.0,0.72,0,108.296,-0.462,1.002
386,1569.246,1134.889,677.277,1183.805,2846.655,677.277,95.7,149.41,83.086,0.4,3,55.983,18.661,28.33,138.381,55.983,1.0,0.596,0,143.55,0.748,0.868
390,1996.289,977.535,1305.067,2687.511,2687.511,1305.067,62.984,125.967,89.072,0.2,2,25.506,12.753,25.506,57.908,25.506,1.0,0.724,0,125.967,1.059,1.414
394,917.925,283.107,717.738,1118.112,1118.112,717.738,56.875,113.75,80.433,0.2,2,22.602,11.301,22.602,100.955,22.602,1.0,0.368,0,113.75,0.558,1.414
403,2651.386,735.677,1273.02,2528.534,3735.805,1273.02,123.292,191.794,67.331,1.2,7,159.101,22.729,35.608,157.743,159.101,1.0,0.71,0,143.84,0.986,0.546
405,1135.314,295.133,1166.233,832.691,1571.999,801.656,119.307,180.401,62.876,1.0,6,132.122,22.02,32.37,152.488,132.122,1.0,0.57,0,143.169,-0.286,0.527
406,1832.861,353.194,1310.647,2082.714,2082.714,1310.647,127.432,215.881,98.351,0.6,4,95.823,23.956,41.192,134.42,95.823,1.0,0.861,0,169.909,0.589,0.772
408,2678.489,829.921,2125.099,2277.624,3632.744,2125.099,55.792,123.444,62.571,0.4,3,31.97,10.657,22.824,134.207,31.97,1.0,0.812,0,83.688,0.072,1.121
409,1688.041,202.666,1544.735,1831.347,1831.347,1544.735,71.881,143.762,101.655,0.2,2,28.278,14.139,28.278,178.292,28.278,1.0,0.711,0,143.762,0.186,1.414
410,1733.05,319.36,2532.047,1372.084,2532.047,1284.637,84.523,165.711,53.006,3.2,17,258.453,15.203,32.29,152.044,258.453,1.0,0.769,0,89.806,-0.458,0.627
415,2449.799,581.389,3579.692,2084.005,3579.692,1756.504,105.041,236.967,81.428,1.4,8,155.224,19.403,46.699,161.754,155.224,1.0,0.61,0,120.047,-0.418,0.775
416,24090.661,3070.904,29007.857,23822.584,29007.857,21475.34,146.995,275.012,118.413,0.8,5,136.555,27.311,53.231,126.213,136.555,1.0,0.872,0,183.743,-0.179,0.806
