tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
237,0,0.0,887,494,1421.1664,0,0.0,0.8731972575187683,1,0,868.1334,476.4124,907.01624,512.9624,1421.1664,0.0,0.0,0.0,0.0
238,0,0.0,952,46,952.852,0,0.0,0.8404109477996826,1,0,937.1492,31.493649,967.90063,62.47923,952.852,0.0,0.0,0.0,0.0
237,1,0.2,868,520,1540.6202,0,162.11807734891835,0.8517192006111145,3,0,848.54266,500.42438,887.5549,539.9151,1540.6202,-77.94841,101.725945,31.998456610763867,232.2843660076399
238,1,0.2,954,50,909.75726,0,18.364536474382362,0.8385199308395386,3,0,939.5436,34.676888,968.786,65.78775,909.75726,6.546443,12.957607,3.3552145230399915,296.08112584464624
237,2,0.4,856,555,1475.7322,0,82.1620075342994,0.6156631112098694,5,0,837.63855,536.50726,876.2252,574.7519,1475.7322,-57.467102,170.93762,14.911555787074043,283.73665811797935
238,2,0.4,957,54,1031.7529,0,14.99071875355427,0.8276430368423462,5,0,941.91187,38.30431,973.51917,70.94711,1031.7529,16.810421,21.208603,1.92661192285651,322.3758928170037
239,2,0.4,1211,353,5664.06,0,0.0,0.7162078022956848,1,0,1175.7587,313.89493,1246.5714,393.88138,5664.06,0.0,0.0,0.0,0.0
237,3,0.6,846,567,1999.8362,0,126.57017776519052,0.8827316761016846,7,0,824.2828,544.53467,868.5517,589.70935,1999.8362,-53.713726,83.906364,22.823986077171373,88.59024758339655
238,3,0.6,966,61,1245.264,0,35.61585013718538,0.8277602195739746,7,0,949.3815,43.75677,984.381,79.33624,1245.264,39.066235,31.482338,5.364523180875903,336.576032509474
240,3,0.6,1088,332,9181.366,0,0.0,0.7957412004470825,1,0,1038.4604,286.4837,1138.0664,378.66058,9181.366,0.0,0.0,0.0,0.0
241,3,0.6,1025,78,620.18475,0,0.0,0.7091584801673889,1,0,1012.7401,66.70557,1038.0282,91.23035,620.18475,0.0,0.0,0.0,0.0
237,4,0.8,842,569,1918.8278,0,91.54563242819715,0.8489267230033875,9,0,820.07056,548.16797,865.4166,590.48315,1918.8278,-26.579622,27.951305,16.19009244924126,67.00181694753184
238,4,0.8,983,80,1646.4042,0,87.64548432794403,0.8536719083786011,9,0,963.1919,60.20803,1003.0287,101.53681,1646.4042,71.36952,81.49465,14.723286891702372,304.34045730713626
242,4,0.8,1077,278,5781.2666,0,0.0,0.7201119065284729,1,0,1034.2468,245.0539,1120.2478,312.27716,5781.2666,0.0,0.0,0.0,0.0
237,5,1.0,821,569,2184.936,0,97.3254923385015,0.8530218005180359,11,0,795.9544,547.8516,846.1431,591.3859,2184.936,-89.58217,7.5758953,17.46039878581691,160.19534966974015
238,5,1.0,987,112,1615.7837,0,101.80502069545796,0.8023484945297241,11,0,967.7404,91.5554,1006.99677,132.71524,1615.7837,32.843834,139.05453,18.103055688368972,234.99717889187588
240,5,1.0,1043,317,653.792,0,235.3122778515338,0.22376137971878052,4,0,1031.341,304.43222,1056.0355,330.90744,653.792,-73.074135,-24.43004,47.86720740917297,161.0150574949214
243,5,1.0,1019,348,1241.7365,0,0.0,0.6786181926727295,1,0,999.6233,333.0095,1039.2598,364.33762,1241.7365,0.0,0.0,0.0,0.0
244,5,1.0,1011,320,8132.5103,0,0.0,0.5140058994293213,1,0,967.49414,274.51797,1056.164,366.23477,8132.5103,0.0,0.0,0.0,0.0
238,6,1.2,974,135,1466.5985,0,114.62854813368523,0.7320422530174255,13,0,955.4285,115.72685,993.00433,154.75725,1466.5985,-43.00376,120.96204,20.541767460704815,166.06689794879583
245,6,1.2,907,468,4825.8667,0,0.0,0.8527203798294067,1,0,870.9335,434.69638,943.3248,501.35995,4825.8667,0.0,0.0,0.0,0.0
246,6,1.2,860,508,896.7036,0,0.0,0.818446695804596,1,0,844.4911,493.9414,875.8771,522.5116,896.7036,0.0,0.0,0.0,0.0
238,7,1.4,972,143,1407.7649,0,95.59934950479243,0.81394362449646,15,0,953.6967,125.0007,990.9245,162.81561,1407.7649,-17.255295,61.248726,17.630977485701298,68.77021685465974
247,7,1.4,834,581,1065.2211,0,0.0,0.8397183418273926,1,0,818.7826,564.41504,850.85535,597.6277,1065.2211,0.0,0.0,0.0,0.0
248,7,1.4,854,605,769.9699,0,0.0,0.7719504237174988,1,0,840.6979,591.75775,867.9169,620.0457,769.9699,0.0,0.0,0.0,0.0
249,7,1.4,881,543,779.36926,0,0.0,0.6055391430854797,1,0,867.714,529.0969,894.6582,558.0222,779.36926,0.0,0.0,0.0,0.0
250,7,1.4,857,548,427.61682,0,0.0,0.5062528252601624,1,0,847.83514,537.89185,867.1806,559.9961,427.61682,0.0,0.0,0.0,0.0
238,8,1.6,975,149,1922.6519,0,55.92544587830564,0.8913960456848145,17,0,953.8758,127.02338,997.55914,171.03671,1922.6519,9.119883,33.83531,9.430828686363915,49.37517658346263
251,8,1.6,778,660,1637.9441,0,0.0,0.8227132558822632,1,0,758.89355,639.6266,798.6493,680.8268,1637.9441,0.0,0.0,0.0,0.0
252,8,1.6,783,605,1888.1138,0,0.0,0.7719165682792664,1,0,763.61426,582.1438,803.3113,629.7069,1888.1138,0.0,0.0,0.0,0.0
238,9,1.8,969,159,1802.3145,0,47.87264008697869,0.8535175919532776,19,0,948.84076,138.16428,991.0346,180.87936,1802.3145,-20.123716,48.16042,9.122214087813806,200.55519271915955
253,9,1.8,643,712,4375.9043,0,0.0,0.6759153604507446,1,0,611.3788,677.6181,674.82654,746.58673,4375.9043,0.0,0.0,0.0,0.0
254,9,1.8,989,592,319.45282,0,0.0,0.5888186097145081,1,0,980.20544,583.6459,997.8883,601.71155,319.45282,0.0,0.0,0.0,0.0
238,10,2.0,963,176,1459.7899,0,44.713418890881336,0.8253977298736572,21,0,944.7212,157.2382,982.2599,196.12581,1459.7899,-29.44015,77.11319,7.44005656536606,246.950613131203
254,10,2.0,978,599,337.2912,0,63.74661324716724,0.4003245532512665,3,0,968.9919,591.2529,988.4329,608.6024,337.2912,-41.255424,28.937902,12.72761339282849,209.77923389579252
255,10,2.0,518,780,4841.153,0,0.0,0.8202000260353088,1,0,479.7884,749.8346,557.76434,811.9198,4841.153,0.0,0.0,0.0,0.0
238,11,2.2,959,191,1328.4453,0,10.418020131177892,0.843144416809082,23,0,941.05505,173.13876,977.51697,209.57251,1328.4453,-22.96556,74.23253,1.7813301635677152,38.325156926560396
250,11,2.2,865,559,480.0141,0,68.57995443129532,0.29928553104400635,6,0,855.28015,548.46674,876.3605,571.2375,480.0141,4.2505083,5.5778036,12.54016362833849,306.6875173266365
256,11,2.2,402,837,2080.4023,0,0.0,0.7476118803024292,1,0,378.85788,815.7322,426.93307,859.0061,2080.4023,0.0,0.0,0.0,0.0
257,11,2.2,431,865,1524.1377,0,0.0,0.7154155373573303,1,0,413.6706,843.8687,449.66437,886.2132,1524.1377,0.0,0.0,0.0,0.0
238,12,2.4,953,211,1365.8591,0,32.90596783357172,0.8198490142822266,25,0,935.0873,193.44272,972.0608,230.38431,1365.8591,-27.2686,96.19818,5.087749222970607,250.5651504758477
250,12,2.4,886,573,681.16833,0,133.38052303796715,0.3985650837421417,8,0,873.15594,560.8013,899.9393,586.23376,681.16833,86.188774,57.311333,22.768628793784398,328.098422051567
238,13,2.6,952,223,1428.778,0,47.54608050187779,0.8254635334014893,27,0,933.0879,204.87727,971.00684,242.55708,1428.778,-12.165307,67.59976,9.02917299356094,64.55243233357072
250,13,2.6,891,579,772.8975,0,78.12141337864126,0.7524864673614502,10,0,876.8219,565.7863,905.31287,592.9141,772.8975,36.78251,35.44185,14.114633503580723,154.93416182861517
