tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
3099,1565.801,615.786,1022.742,1439.828,2234.832,1022.742,35.067,91.73,49.532,1.0,3,52.601,0.408,1.412
3100,2126.442,1568.64,2167.258,537.792,3674.276,537.792,8.113,15.088,7.608,1.8,3,12.17,-0.752,0.938
3107,3043.715,2904.333,5097.388,990.042,5097.388,990.042,10.967,21.933,15.509,0.4,2,21.933,-0.806,1.414
3111,3483.172,1242.218,2604.791,4361.553,4361.553,2604.791,19.581,39.163,27.692,0.6,2,39.163,0.674,1.414
3113,1831.337,532.867,2208.131,1454.543,2208.131,1454.543,5.934,11.868,8.392,1.0,2,11.868,-0.341,1.414
3117,1401.787,670.74,927.502,1876.072,1876.072,927.502,2.613,5.227,3.696,1.2,2,5.227,1.023,1.414
3118,1278.513,203.635,1422.505,1134.521,1422.505,1134.521,3.676,7.352,5.199,1.0,2,7.352,-0.202,1.414
3123,1180.211,413.476,1121.182,939.899,1780.909,878.855,12.675,20.885,8.961,2.4,4,16.9,-0.162,0.707
3131,2868.706,1297.023,3785.839,1951.572,3785.839,1951.572,8.073,16.145,11.416,1.0,2,16.145,-0.485,1.414
3133,1643.623,97.006,1575.03,1712.217,1712.217,1575.03,3.415,6.83,4.829,1.0,2,6.83,0.087,1.414
3141,3628.181,2692.533,1724.273,5532.089,5532.089,1724.273,71.24,142.48,100.749,0.2,2,142.48,2.208,1.414
3143,724.156,335.212,961.187,487.126,961.187,487.126,21.811,43.622,30.845,0.4,2,43.622,-0.493,1.414
3147,2183.954,218.607,2029.375,2338.532,2338.532,2029.375,5.149,10.299,7.282,1.2,2,10.299,0.152,1.414
3149,2515.394,750.566,3046.124,1984.664,3046.124,1984.664,27.213,54.426,38.485,0.4,2,54.426,-0.348,1.414
3150,1072.683,1175.321,1903.76,241.606,1903.76,241.606,27.672,55.344,39.134,0.4,2,55.344,-0.873,1.414
3152,2258.543,545.691,2644.405,1872.682,2644.405,1872.682,5.556,11.113,7.858,1.2,2,11.113,-0.292,1.414
3156,3397.599,4054.668,530.516,6264.682,6264.682,530.516,74.342,148.683,105.135,0.2,2,148.683,10.809,1.414
3162,880.173,393.946,601.611,1158.735,1158.735,601.611,63.32,126.641,89.549,0.2,2,126.641,0.926,1.414
3164,528.108,28.381,508.04,548.177,548.177,508.04,3.108,6.216,4.395,1.0,2,6.216,0.079,1.414
3165,1051.243,99.606,1121.676,980.811,1121.676,980.811,7.219,14.439,10.21,0.8,2,14.439,-0.126,1.414
3167,2823.555,1020.308,3545.022,2102.088,3545.022,2102.088,0.474,0.948,0.671,0.8,2,0.948,-0.407,1.414
3179,1774.941,433.804,1468.196,2081.687,2081.687,1468.196,21.369,42.738,30.22,0.4,2,42.738,0.418,1.414
3183,1121.571,535.248,743.094,1500.049,1500.049,743.094,1.353,2.705,1.913,1.0,2,2.705,1.019,1.414
3189,1366.437,1000.472,595.059,2191.138,2268.822,410.729,19.349,37.135,16.257,2.0,4,25.798,2.682,0.84
3194,1171.007,364.592,911.784,1013.337,1587.899,911.784,34.557,88.178,47.078,1.0,3,51.836,0.111,1.362
3207,1279.605,480.811,1619.589,939.62,1619.589,939.62,9.956,19.913,14.08,0.6,2,19.913,-0.42,1.414
3227,1287.255,1144.233,478.16,2096.35,2096.35,478.16,17.187,34.373,24.306,0.4,2,34.373,3.384,1.414
