tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed,source_video
5125,0,0.0,224,337,448.77365,0,0.0,1.avi
5126,1,0.2,1014,71,527.83386,0,0.0,1.avi
5127,2,0.4,840,165,582.1685,0,0.0,1.avi
5128,3,0.6,414,385,2292.6506,0,0.0,1.avi
5129,4,0.8,172,492,2493.399,0,0.0,1.avi
5130,5,1.0,143,5,184.38144,0,0.0,1.avi
5131,6,1.2,457,901,718.6461,0,0.0,1.avi
5132,6,1.2,1085,87,502.12125,0,0.0,1.avi
5133,6,1.2,485,936,735.84595,0,0.0,1.avi
5134,7,1.4,376,118,756.4177,0,0.0,1.avi
5135,7,1.4,756,322,414.5149,0,0.0,1.avi
5136,7,1.4,976,158,916.7662,0,0.0,1.avi
5137,7,1.4,278,995,746.3524,0,0.0,1.avi
5138,7,1.4,1192,287,424.80347,0,0.0,1.avi
5139,8,1.6,129,74,552.5848,0,0.0,1.avi
5140,8,1.6,617,421,397.30698,0,0.0,1.avi
5141,8,1.6,765,265,969.118,0,0.0,1.avi
5142,9,1.8,375,226,395.01743,0,0.0,1.avi
5143,9,1.8,914,5,244.02658,0,0.0,1.avi
5144,10,2.0,615,108,854.8141,0,0.0,1.avi
5145,10,2.0,694,634,451.1506,0,0.0,1.avi
5146,10,2.0,230,330,375.5625,0,0.0,1.avi
5147,10,2.0,327,12,839.3907,0,0.0,1.avi
5148,11,2.2,965,231,689.90393,0,0.0,1.avi
5149,11,2.2,225,794,510.84518,0,0.0,1.avi
5150,11,2.2,800,378,433.24817,0,0.0,1.avi
5151,11,2.2,554,735,457.7763,0,0.0,1.avi
5152,12,2.4,65,241,532.2075,0,0.0,1.avi
5153,13,2.6,825,275,500.6143,0,0.0,1.avi
5154,13,2.6,412,970,367.93823,0,0.0,1.avi
5155,13,2.6,616,505,433.61533,0,0.0,1.avi
5156,14,2.8,695,291,391.32117,0,0.0,1.avi
5157,14,2.8,742,780,163.1295,0,0.0,1.avi
5158,15,3.0,471,549,845.2644,0,0.0,1.avi
5159,15,3.0,1194,784,434.48477,0,0.0,1.avi
5160,15,3.0,687,813,170.53865,0,0.0,1.avi
5161,16,3.2,1053,798,409.47406,0,0.0,1.avi
5162,16,3.2,632,844,156.85469,0,0.0,1.avi
5163,17,3.4,1230,166,789.4733,0,0.0,1.avi
5164,17,3.4,576,873,157.38225,0,0.0,1.avi
5165,18,3.6,803,226,652.97943,0,0.0,1.avi
5166,18,3.6,996,764,458.37692,0,0.0,1.avi
5167,18,3.6,1120,479,524.5811,0,0.0,1.avi
5168,18,3.6,1051,542,748.60626,0,0.0,1.avi
5169,18,3.6,517,902,168.24167,0,0.0,1.avi
5170,18,3.6,497,920,489.51923,0,0.0,1.avi
5171,18,3.6,1201,206,956.66504,0,0.0,1.avi
5172,19,3.8,63,150,764.3728,0,0.0,1.avi
