tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
5159,568.786,189.93,434.485,703.087,703.087,434.485,3.445,6.889,4.871,1.2,2,6.889,0.618,1.414
5184,417.053,81.768,474.871,359.234,474.871,359.234,3.431,6.862,4.852,1.2,2,6.862,-0.244,1.414
5195,422.757,139.567,359.711,433.595,611.62,286.1,11.839,21.792,10.345,1.8,4,15.785,0.205,0.874
5196,487.401,237.003,654.987,319.815,654.987,319.815,1.758,3.516,2.486,1.2,2,3.516,-0.512,1.414
5259,706.031,409.065,416.778,995.284,995.284,416.778,11.759,23.518,16.63,0.4,2,23.518,1.388,1.414
5287,393.91,50.063,358.51,429.31,429.31,358.51,6.124,12.247,8.66,1.0,2,12.247,0.197,1.414
5302,737.996,22.973,721.751,754.24,754.24,721.751,47.592,95.185,67.306,0.2,2,95.185,0.045,1.414
5318,376.056,277.081,571.981,180.13,571.981,180.13,2.003,4.006,2.832,0.6,2,4.006,-0.685,1.414
5341,366.705,17.387,378.999,354.41,378.999,354.41,2.767,5.534,3.913,0.8,2,5.534,-0.065,1.414
5357,749.407,364.847,491.421,1007.392,1007.392,491.421,6.35,12.699,8.98,0.8,2,12.699,1.05,1.414
5415,561.539,77.212,616.136,506.942,616.136,506.942,53.647,107.295,75.869,0.2,2,107.295,-0.177,1.414
5458,212.96,99.01,282.97,142.949,282.97,142.949,2.735,5.47,3.868,0.8,2,5.47,-0.495,1.414
5465,204.017,14.018,194.104,213.929,213.929,194.104,21.813,43.626,30.848,0.2,2,43.626,0.102,1.414
5466,756.164,59.317,724.668,705.954,897.13,705.954,51.971,73.993,21.707,2.4,11,57.168,-0.026,0.418
5478,937.244,53.697,899.274,975.214,975.214,899.274,54.275,108.551,76.757,0.2,2,108.551,0.084,1.414
5487,284.745,6.515,282.204,279.742,294.564,279.591,145.442,195.41,74.085,1.0,6,174.531,-0.009,0.509
5498,1451.929,46.591,1534.387,1503.529,1536.228,1380.814,153.78,201.075,42.934,3.8,20,161.874,-0.02,0.279
5499,1323.46,39.893,1306.282,1361.537,1361.537,1275.52,99.148,151.988,68.427,0.6,4,132.197,0.042,0.69
5500,1315.65,44.04,1308.303,1294.487,1361.649,1230.462,130.071,170.969,48.178,1.8,10,144.523,-0.011,0.37
5501,242.545,4.849,243.722,239.242,251.457,238.307,90.025,126.945,48.737,1.2,6,108.03,-0.018,0.541
5503,9512.091,3071.022,3570.079,798.213,12894.458,798.213,43.886,109.55,20.064,10.8,55,44.699,-0.776,0.457
5504,327.622,10.837,319.959,335.285,335.285,319.959,13.838,27.676,19.57,0.2,2,27.676,0.048,1.414
5505,618.956,38.496,616.246,581.887,658.736,581.887,18.592,32.27,16.687,0.4,3,27.888,-0.056,0.898
5506,470.106,15.112,459.269,463.68,487.37,459.269,19.672,33.979,17.613,0.4,3,29.509,0.01,0.895
5507,796.09,17.708,812.461,777.296,812.461,777.296,11.639,20.769,10.609,0.4,3,17.459,-0.043,0.912
5508,261.073,8.996,267.434,254.712,267.434,254.712,9.293,18.585,13.142,0.2,2,18.585,-0.048,1.414
5510,578.486,12.748,584.77,563.816,586.873,563.816,9.256,18.143,9.077,0.4,3,13.884,-0.036,0.981
5511,267.973,0.436,267.664,268.281,268.281,267.664,4.719,9.439,6.674,0.2,2,9.439,0.002,1.414
5512,513.225,41.734,533.979,465.183,540.513,465.183,12.447,24.38,12.198,0.4,3,18.67,-0.129,0.98
5513,402.547,6.33,398.788,398.996,409.855,398.788,5.767,10.68,5.391,0.4,3,8.65,0.001,0.935
5514,426.911,23.306,450.627,404.038,450.627,404.038,8.464,16.982,8.491,0.4,3,12.697,-0.103,1.003
5515,629.755,20.286,650.024,633.897,650.024,608.173,13.175,20.358,8.109,0.8,5,16.468,-0.025,0.616
5517,455.673,13.365,441.178,461.419,471.328,441.178,10.984,18.77,7.882,0.6,4,14.646,0.046,0.718
5519,535.824,49.682,564.652,478.456,564.652,478.456,26.093,40.683,22.65,0.8,3,39.14,-0.153,0.868
5520,257.998,14.251,280.046,236.667,280.046,236.667,52.632,74.038,28.044,1.0,6,63.159,-0.155,0.533
5521,320.577,32.302,331.755,212.105,340.793,212.105,49.47,69.393,16.989,2.6,14,53.275,-0.361,0.343
5522,605.857,94.994,584.86,225.474,656.155,225.474,49.313,70.284,14.414,4.0,21,51.779,-0.614,0.292
5523,471.487,54.061,508.669,264.924,508.669,264.924,48.8,68.364,13.9,3.4,18,51.671,-0.479,0.285
5524,260.116,24.366,258.344,171.294,286.54,171.294,48.922,66.856,14.336,3.2,17,51.98,-0.337,0.293
5525,259.999,7.006,255.304,258.418,270.937,250.622,42.107,52.636,9.769,4.4,23,44.02,0.012,0.232
5526,590.133,29.089,626.642,584.495,628.26,522.125,41.018,59.165,9.898,5.2,27,42.596,-0.067,0.241
5527,823.207,23.788,804.492,897.91,897.91,785.512,40.506,58.896,9.922,5.6,29,41.952,0.116,0.245
5528,521.706,27.089,471.953,518.359,563.074,471.953,40.242,52.015,9.377,5.8,30,41.63,0.098,0.233
5529,265.416,7.697,268.101,294.692,294.692,255.496,42.52,51.425,8.793,6.0,31,43.937,0.099,0.207
5530,401.616,13.517,364.258,385.078,429.274,364.258,37.945,49.755,8.098,6.2,32,39.169,0.057,0.213
5531,434.654,14.111,458.648,458.403,462.005,412.896,36.965,48.848,8.08,5.8,30,38.239,-0.001,0.219
5532,632.366,20.921,641.97,615.302,665.959,591.326,36.115,48.081,8.671,6.0,31,37.319,-0.042,0.24
5533,444.399,15.318,432.094,441.331,480.274,422.92,35.825,47.657,8.502,5.8,30,37.06,0.021,0.237
5534,262.361,12.068,285.092,236.425,285.092,231.33,35.378,46.745,8.726,5.4,28,36.688,-0.171,0.247
5535,148.322,8.839,145.663,154.529,165.556,137.684,36.194,42.407,7.988,5.0,25,37.702,0.061,0.221
5536,433.501,58.703,220.189,515.945,515.945,220.189,35.073,48.397,11.786,3.8,20,36.919,1.343,0.336
5538,568.344,101.68,245.171,692.576,692.576,245.171,36.592,51.351,13.751,3.2,17,38.879,1.825,0.376
5541,181.317,26.744,162.297,223.205,223.205,156.58,37.383,47.915,16.187,1.4,8,42.723,0.375,0.433
5546,1285.958,31.536,1389.089,1281.084,1389.089,1231.092,67.038,80.134,13.122,7.6,39,68.802,-0.078,0.196
5547,400.855,37.944,316.11,451.838,451.838,316.11,63.02,77.313,25.262,1.6,9,70.898,0.429,0.401
5548,727.44,42.39,714.955,627.557,804.373,627.557,66.735,79.158,13.001,7.4,38,68.538,-0.122,0.195
5549,522.145,46.69,530.734,541.643,600.447,430.595,66.66,77.636,13.25,7.2,37,68.512,0.021,0.199
5550,1489.2,54.867,1652.776,1406.448,1652.776,1375.094,67.255,81.066,13.782,6.8,35,69.233,-0.149,0.205
5551,334.092,9.889,325.026,332.952,350.793,325.026,60.903,80.365,30.663,1.0,6,73.083,0.024,0.503
5552,262.364,8.007,258.629,263.897,274.046,252.608,63.466,78.949,28.827,1.2,7,74.044,0.02,0.454
5553,387.015,46.942,396.728,499.754,499.754,342.606,53.799,67.585,20.842,2.0,10,59.776,0.26,0.387
5554,410.864,12.488,437.68,431.027,437.68,390.164,70.701,83.774,16.598,4.4,23,73.915,-0.015,0.235
5555,366.69,24.178,401.067,288.054,401.067,288.054,70.113,83.952,20.193,3.0,16,74.787,-0.282,0.288
5556,817.659,58.465,526.481,878.537,878.537,526.481,58.904,73.65,13.548,5.8,30,60.935,0.669,0.23
5557,391.865,13.24,405.506,418.706,424.264,375.988,62.269,74.489,14.412,4.6,24,64.976,0.033,0.231
5558,268.345,7.192,274.592,265.307,279.887,254.978,61.248,79.012,15.85,3.8,20,64.471,-0.034,0.259
5559,105.487,16.68,95.27,101.684,141.273,78.436,58.289,71.363,21.147,2.2,11,64.118,0.067,0.363
5560,337.76,12.711,333.678,349.132,353.989,296.539,60.179,74.687,16.081,3.4,18,63.718,0.046,0.267
5561,807.896,85.741,580.122,1018.239,1018.239,580.122,45.643,67.069,14.908,6.8,35,46.986,0.755,0.327
5562,366.102,16.284,397.78,411.956,411.956,345.609,53.769,67.611,12.713,4.6,24,56.107,0.036,0.236
