tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,source_video
12,9,1.8,679,157,1748.6384,0,0.0,4.avi
13,10,2.0,648,208,1776.645,0,0.0,4.avi
14,33,6.6,243,403,1617.2582,0,0.0,4.avi
15,36,7.2,155,455,1137.084,0,0.0,4.avi
16,3,0.6,975,160,24421.93,0,0.0,6.avi
16,5,1.0,1042,185,29125.12,0,359.7316078993601,6.avi
17,14,2.8,1121,508,18294.924,0,0.0,6.avi
17,15,3.0,1048,499,19085.445,0,367.81981056730433,6.avi
18,18,3.6,984,397,20227.988,0,0.0,6.avi
18,20,4.0,999,325,42165.234,0,366.5809562591109,6.avi
18,22,4.4,1090,276,21409.703,0,396.11951704044014,6.avi
18,23,4.6,1147,277,16063.56,0,175.92756200476774,6.avi
19,34,6.8,405,268,4610.745,0,0.0,10.avi
20,44,8.8,445,257,4554.913,0,0.0,10.avi
