tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,source_video
2973,0,0.0,781,262,4242.37,0,0.0,1.avi
2974,0,0.0,810,131,4878.3784,0,0.0,1.avi
2975,0,0.0,462,519,1705.098,0,0.0,1.avi
2976,0,0.0,219,587,1672.8411,0,0.0,1.avi
2977,1,0.2,407,746,11960.955,0,0.0,1.avi
2978,1,0.2,331,436,4288.182,0,0.0,1.avi
2979,1,0.2,854,321,2080.6296,0,0.0,1.avi
2980,1,0.2,850,634,4452.0283,0,0.0,1.avi
2981,1,0.2,251,754,2770.2742,0,0.0,1.avi
2982,1,0.2,775,539,1350.1627,0,0.0,1.avi
2983,1,0.2,308,712,1494.7125,0,0.0,1.avi
2984,1,0.2,227,286,3205.361,0,0.0,1.avi
2985,1,0.2,1076,1019,364.98636,0,0.0,1.avi
2977,2,0.4,435,729,4698.8584,0,162.82245944940846,1.avi
2986,2,0.4,930,184,2418.2378,0,0.0,1.avi
2987,2,0.4,601,198,2467.0427,0,0.0,1.avi
2988,2,0.4,969,113,1260.1444,0,0.0,1.avi
2989,2,0.4,941,552,3318.6738,0,0.0,1.avi
2990,2,0.4,83,441,10003.999,0,0.0,1.avi
2991,2,0.4,707,734,3270.4143,0,0.0,1.avi
2992,2,0.4,854,686,6210.706,0,0.0,1.avi
2993,2,0.4,311,145,1786.1167,0,0.0,1.avi
2994,2,0.4,570,372,1558.1489,0,0.0,1.avi
2983,3,0.6,331,752,3086.8247,0,232.537562961652,1.avi
2995,3,0.6,1037,202,7074.153,0,0.0,1.avi
2996,3,0.6,1165,451,6386.3716,0,0.0,1.avi
2997,3,0.6,667,55,4159.8823,0,0.0,1.avi
2998,3,0.6,114,517,2348.6567,0,0.0,1.avi
2974,4,0.8,813,147,1307.6294,0,77.38193345531165,1.avi
2980,4,0.8,832,616,750.0554,0,125.95929740356924,1.avi
2996,4,0.8,1189,455,8725.921,0,126.55888965037566,1.avi
2999,4,0.8,625,501,8104.041,0,0.0,1.avi
3000,4,0.8,875,1002,2758.496,0,0.0,1.avi
3001,4,0.8,988,713,2625.408,0,0.0,1.avi
3002,4,0.8,397,234,2416.5737,0,0.0,1.avi
3003,4,0.8,640,102,5273.007,0,0.0,1.avi
2981,5,1.0,218,784,3933.7888,0,223.6226434698719,1.avi
2987,5,1.0,631,184,3411.4194,0,165.1490260308659,1.avi
3004,5,1.0,488,807,5372.6934,0,0.0,1.avi
3005,5,1.0,515,112,4659.6953,0,0.0,1.avi
3006,5,1.0,415,562,7520.9175,0,0.0,1.avi
3007,5,1.0,637,885,4130.1543,0,0.0,1.avi
3008,5,1.0,871,212,3389.3596,0,0.0,1.avi
3009,5,1.0,563,943,1924.3702,0,0.0,1.avi
3010,5,1.0,1165,862,1343.9454,0,0.0,1.avi
3011,5,1.0,875,581,999.7302,0,0.0,1.avi
2981,6,1.2,252,766,3231.795,0,244.3915185961396,1.avi
2983,6,1.2,398,822,2328.2476,0,123.45065937374616,1.avi
2986,6,1.2,908,199,2667.874,0,130.51989935872723,1.avi
2989,6,1.2,926,511,6669.676,0,219.23012011424865,1.avi
3005,6,1.2,509,135,1801.8223,0,118.96264511568404,1.avi
3009,6,1.2,540,924,1704.8387,0,149.7256529179176,1.avi
3012,6,1.2,1070,767,2775.4985,0,0.0,1.avi
3013,6,1.2,1148,313,2092.39,0,0.0,1.avi
3014,6,1.2,233,828,1480.4604,0,0.0,1.avi
2987,7,1.4,610,149,2312.2544,0,232.72701754485985,1.avi
3015,7,1.4,738,848,2832.98,0,0.0,1.avi
3016,7,1.4,343,650,1501.8176,0,0.0,1.avi
3017,7,1.4,734,156,1916.8538,0,0.0,1.avi
3018,8,1.6,207,623,5369.343,0,0.0,1.avi
3019,8,1.6,1220,839,3102.428,0,0.0,1.avi
3020,8,1.6,936,299,4271.0312,0,0.0,1.avi
3021,8,1.6,537,867,2646.9236,0,0.0,1.avi
3022,8,1.6,286,443,1313.9524,0,0.0,1.avi
3023,8,1.6,1210,215,3332.686,0,0.0,1.avi
3024,8,1.6,1023,296,4942.8174,0,0.0,1.avi
3025,8,1.6,1087,105,2561.4067,0,0.0,1.avi
3026,8,1.6,926,981,6885.33,0,0.0,1.avi
3027,8,1.6,361,602,5844.182,0,0.0,1.avi
2986,9,1.8,933,227,2706.8542,0,217.77543714849733,1.avi
3005,9,1.8,496,262,5268.2617,0,101.59001503515512,1.avi
3011,9,1.8,897,618,1985.5911,0,215.64485717751745,1.avi
3019,9,1.8,1188,828,3294.1165,0,168.59789976046636,1.avi
3023,9,1.8,1222,236,3711.4905,0,125.09196006764886,1.avi
3028,9,1.8,31,649,5301.2812,0,0.0,1.avi
3029,9,1.8,1137,1010,1685.5563,0,0.0,1.avi
3030,9,1.8,588,623,2418.8613,0,0.0,1.avi
3031,9,1.8,712,6,414.75998,0,0.0,1.avi
3032,9,1.8,522,316,4622.42,0,0.0,1.avi
3033,9,1.8,513,35,893.0616,0,0.0,1.avi
3034,9,1.8,51,521,1372.6436,0,0.0,1.avi
3035,9,1.8,1124,731,9218.098,0,0.0,1.avi
3036,9,1.8,322,566,2156.7854,0,0.0,1.avi
2987,10,2.0,566,38,3975.8003,0,168.415074585948,1.avi
3024,10,2.0,1041,342,2088.516,0,248.19944778924508,1.avi
3035,10,2.0,1157,764,2126.8208,0,234.00177094746377,1.avi
3037,10,2.0,656,971,5727.5464,0,0.0,1.avi
3038,10,2.0,821,754,2119.5872,0,0.0,1.avi
3039,10,2.0,805,665,1561.4863,0,0.0,1.avi
3040,10,2.0,398,294,3455.1152,0,0.0,1.avi
3041,10,2.0,320,379,1926.346,0,0.0,1.avi
3042,10,2.0,1163,433,5701.5356,0,0.0,1.avi
3043,10,2.0,430,842,1843.3016,0,0.0,1.avi
3044,10,2.0,532,929,27351.898,0,0.0,1.avi
3006,11,2.2,394,518,1585.1865,0,243.41923647394535,1.avi
3045,11,2.2,298,970,18716.91,0,0.0,1.avi
3046,11,2.2,302,84,5220.543,0,0.0,1.avi
3047,11,2.2,1247,522,4103.7466,0,0.0,1.avi
3048,11,2.2,1185,583,1050.4121,0,0.0,1.avi
3049,11,2.2,197,536,931.01373,0,0.0,1.avi
3050,11,2.2,1070,1007,2976.4487,0,0.0,1.avi
3051,11,2.2,847,625,3134.2034,0,0.0,1.avi
3013,12,2.4,1160,305,2567.1265,0,72.59947971871611,1.avi
3027,12,2.4,364,610,2467.1067,0,46.478239408846406,1.avi
3036,12,2.4,352,574,9009.344,0,151.87668602238375,1.avi
3037,12,2.4,687,1010,1621.7676,0,248.71326405939504,1.avi
3040,12,2.4,382,312,3252.5815,0,123.00342801132314,1.avi
3042,12,2.4,1195,408,1670.4849,0,203.67149931365805,1.avi
3050,12,2.4,1032,1001,2424.2605,0,195.24116321377852,1.avi
3052,12,2.4,600,432,2859.2966,0,0.0,1.avi
3053,12,2.4,1072,608,2257.6401,0,0.0,1.avi
3054,12,2.4,869,360,966.9076,0,0.0,1.avi
3055,12,2.4,572,688,11639.903,0,0.0,1.avi
3018,13,2.6,208,647,1852.4888,0,119.21361778355936,1.avi
3038,13,2.6,799,721,2761.949,0,196.682536763688,1.avi
3043,13,2.6,435,844,5953.3057,0,27.44758428190676,1.avi
3056,13,2.6,103,630,3009.0151,0,0.0,1.avi
3057,13,2.6,60,347,3848.653,0,0.0,1.avi
3058,13,2.6,685,937,1720.6525,0,0.0,1.avi
