tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
2974,3093.004,2524.901,4878.378,1307.629,4878.378,1307.629,38.691,77.382,54.717,0.8,2,77.382,-0.732,1.414
2977,8329.907,5135.078,11960.955,4698.858,11960.955,4698.858,81.411,162.822,115.133,0.2,2,162.822,-0.607,1.414
2980,2601.042,2617.69,4452.028,750.055,4452.028,750.055,62.98,125.959,89.067,0.6,2,125.959,-0.832,1.414
2981,3311.953,585.884,2770.274,3231.795,3933.789,2770.274,156.005,244.392,135.503,1.0,3,234.007,0.167,0.869
2983,2303.262,796.35,1494.712,2328.248,3086.825,1494.712,118.663,232.538,116.343,1.0,3,177.994,0.558,0.98
2986,2597.655,156.598,2418.238,2706.854,2706.854,2418.238,116.098,217.775,109.602,1.4,3,174.148,0.119,0.944
2987,3041.629,789.843,2467.043,3975.8,3975.8,2312.254,141.573,232.727,99.379,1.6,4,188.764,0.612,0.702
2989,4994.175,2369.516,3318.674,6669.676,6669.676,3318.674,109.615,219.23,155.019,0.8,2,219.23,1.01,1.414
2996,7556.146,1654.311,6386.372,8725.921,8725.921,6386.372,63.279,126.559,89.491,0.2,2,126.559,0.366,1.414
3005,3909.926,1850.855,4659.695,5268.262,5268.262,1801.822,73.518,118.963,64.258,0.8,3,110.276,0.131,0.874
3006,4553.052,4197.196,7520.918,1585.186,7520.918,1585.186,121.71,243.419,172.123,1.2,2,243.419,-0.789,1.414
3009,1814.604,155.232,1924.37,1704.839,1924.37,1704.839,74.863,149.726,105.872,0.2,2,149.726,-0.114,1.414
3011,1492.661,697.109,999.73,1985.591,1985.591,999.73,107.822,215.645,152.484,0.8,2,215.645,0.986,1.414
3013,2063.824,518.176,2092.39,1531.957,2567.126,1531.957,84.15,179.849,90.479,2.0,3,126.224,-0.268,1.075
3018,3610.916,2486.791,5369.343,1852.489,5369.343,1852.489,59.607,119.214,84.297,1.0,2,119.214,-0.655,1.414
3019,3198.272,135.544,3102.428,3294.116,3294.116,3102.428,84.299,168.598,119.217,0.2,2,168.598,0.062,1.414
3023,3522.088,267.855,3332.686,3711.49,3711.49,3332.686,62.546,125.092,88.453,0.2,2,125.092,0.114,1.414
3024,3515.667,2018.296,4942.817,2088.516,4942.817,2088.516,124.1,248.199,175.504,0.4,2,248.199,-0.577,1.414
3027,4155.644,2387.953,5844.182,2467.107,5844.182,2467.107,23.239,46.478,32.865,0.8,2,46.478,-0.578,1.414
3035,5672.459,5014.29,9218.098,2126.821,9218.098,2126.821,117.001,234.002,165.464,0.2,2,234.002,-0.769,1.414
3036,4175.746,4204.881,2156.785,1361.109,9009.344,1361.109,124.005,220.14,112.685,1.2,3,186.008,-0.369,0.909
3037,3674.657,2903.224,5727.546,1621.768,5727.546,1621.768,124.357,248.713,175.867,0.4,2,248.713,-0.717,1.414
3038,2440.768,454.218,2119.587,2761.949,2761.949,2119.587,98.341,196.683,139.076,0.6,2,196.683,0.303,1.414
3040,3353.848,143.213,3455.115,3252.582,3455.115,3252.582,61.502,123.003,86.977,0.4,2,123.003,-0.059,1.414
3042,3686.01,2850.383,5701.536,1670.485,5701.536,1670.485,101.836,203.671,144.017,0.4,2,203.671,-0.707,1.414
3043,4314.651,2177.859,1843.302,5147.345,5953.306,1843.302,78.591,208.326,113.189,1.0,3,117.887,1.792,1.44
3048,3029.456,2798.791,1050.412,5008.5,5008.5,1050.412,49.837,99.675,70.481,0.6,2,99.675,3.768,1.414
3050,2700.355,390.456,2976.449,2424.26,2976.449,2424.26,97.621,195.241,138.056,0.2,2,195.241,-0.186,1.414
3052,3089.43,325.458,2859.297,3319.564,3319.564,2859.297,102.171,204.343,144.492,0.6,2,204.343,0.161,1.414
3056,2233.408,1096.874,3009.015,1457.801,3009.015,1457.801,44.356,88.711,62.728,0.4,2,88.711,-0.516,1.414
3057,5732.655,2664.381,3848.653,7616.656,7616.656,3848.653,9.271,18.543,13.112,1.2,2,18.543,0.979,1.414
3060,2031.625,558.498,2267.361,2321.783,2342.139,1195.216,120.538,219.741,112.071,2.4,4,160.717,0.024,0.93
3062,2179.688,774.119,2727.073,1632.303,2727.073,1632.303,114.692,229.384,162.199,0.8,2,229.384,-0.401,1.414
3063,947.467,107.194,1023.265,871.67,1023.265,871.67,75.515,151.031,106.795,0.6,2,151.031,-0.148,1.414
3070,1986.488,34.496,2010.88,1962.095,2010.88,1962.095,89.311,178.623,126.305,0.2,2,178.623,-0.024,1.414
3081,15335.28,14970.213,2648.652,30423.39,30423.39,2284.716,189.512,575.831,264.905,1.8,4,252.682,10.486,1.398
3086,1745.057,1025.898,2470.477,1019.638,2470.477,1019.638,65.386,130.773,92.47,0.2,2,130.773,-0.587,1.414
3089,1570.033,426.044,1871.292,1268.774,1871.292,1268.774,100.462,200.924,142.075,0.8,2,200.924,-0.322,1.414
3090,3355.973,1758.688,5285.169,2940.586,5285.169,1842.162,96.63,216.104,109.848,1.8,3,144.945,-0.444,1.137
3094,3232.164,1346.248,4184.105,2280.223,4184.105,2280.223,78.723,157.446,111.331,1.0,2,157.446,-0.455,1.414
3097,1082.196,106.516,1157.514,1006.878,1157.514,1006.878,28.294,56.589,40.014,0.4,2,56.589,-0.13,1.414
3098,3652.269,1767.765,2402.27,4902.268,4902.268,2402.27,117.83,235.661,166.637,0.2,2,235.661,1.041,1.414
3099,694.343,268.118,883.931,504.755,883.931,504.755,33.512,67.024,47.393,0.4,2,67.024,-0.429,1.414
3100,1964.974,880.811,2587.802,1342.147,2587.802,1342.147,25.599,51.198,36.202,0.8,2,51.198,-0.481,1.414
