tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,source_video
9327,0,0.0,224,337,448.77365,0,0.0,1.avi
9328,0,0.0,1102,398,242.50357,0,0.0,1.avi
9329,1,0.2,1014,71,527.83386,0,0.0,1.avi
9330,2,0.4,840,165,582.1685,0,0.0,1.avi
9331,3,0.6,414,385,2292.6506,0,0.0,1.avi
9332,4,0.8,172,492,2493.399,0,0.0,1.avi
9333,5,1.0,143,5,184.38144,0,0.0,1.avi
9334,6,1.2,457,901,718.6461,0,0.0,1.avi
9335,6,1.2,1085,87,502.12125,0,0.0,1.avi
9336,6,1.2,485,936,735.84595,0,0.0,1.avi
9337,7,1.4,376,118,756.4177,0,0.0,1.avi
9338,7,1.4,756,322,414.5149,0,0.0,1.avi
9339,7,1.4,976,158,916.7662,0,0.0,1.avi
9340,7,1.4,278,995,746.3524,0,0.0,1.avi
9341,7,1.4,1192,287,424.80347,0,0.0,1.avi
9342,8,1.6,129,74,552.5848,0,0.0,1.avi
9343,8,1.6,617,421,397.30698,0,0.0,1.avi
9344,8,1.6,765,265,969.118,0,0.0,1.avi
9345,9,1.8,375,226,395.01743,0,0.0,1.avi
9346,9,1.8,914,5,244.02658,0,0.0,1.avi
9347,9,1.8,883,42,893.61145,0,0.0,1.avi
9348,9,1.8,841,524,508.54263,0,0.0,1.avi
9349,10,2.0,615,108,854.8141,0,0.0,1.avi
9350,10,2.0,694,634,451.1506,0,0.0,1.avi
9351,10,2.0,230,330,375.5625,0,0.0,1.avi
9352,10,2.0,327,12,839.3907,0,0.0,1.avi
9353,11,2.2,965,231,689.90393,0,0.0,1.avi
9354,11,2.2,225,794,510.84518,0,0.0,1.avi
9355,11,2.2,800,378,433.24817,0,0.0,1.avi
9356,11,2.2,554,735,457.7763,0,0.0,1.avi
9357,12,2.4,65,241,532.2075,0,0.0,1.avi
9358,13,2.6,825,275,500.6143,0,0.0,1.avi
9359,13,2.6,412,970,367.93823,0,0.0,1.avi
9360,13,2.6,616,505,433.61533,0,0.0,1.avi
9361,13,2.6,798,744,185.38373,0,0.0,1.avi
9362,14,2.8,695,291,391.32117,0,0.0,1.avi
9363,14,2.8,742,780,163.1295,0,0.0,1.avi
9364,14,2.8,967,419,520.31116,0,0.0,1.avi
9365,14,2.8,1231,60,602.6912,0,0.0,1.avi
9366,15,3.0,471,549,845.2644,0,0.0,1.avi
9367,15,3.0,1194,784,434.48477,0,0.0,1.avi
9368,15,3.0,687,813,170.53865,0,0.0,1.avi
9369,16,3.2,1053,798,409.47406,0,0.0,1.avi
9370,16,3.2,632,844,156.85469,0,0.0,1.avi
9371,17,3.4,1230,166,789.4733,0,0.0,1.avi
9372,17,3.4,576,873,157.38225,0,0.0,1.avi
9373,17,3.4,1143,637,501.34604,0,0.0,1.avi
9374,18,3.6,803,226,652.97943,0,0.0,1.avi
9375,18,3.6,996,764,458.37692,0,0.0,1.avi
9376,18,3.6,1120,479,524.5811,0,0.0,1.avi
9377,18,3.6,1051,542,748.60626,0,0.0,1.avi
9378,18,3.6,517,902,168.24167,0,0.0,1.avi
9379,18,3.6,497,920,489.51923,0,0.0,1.avi
9380,18,3.6,1201,206,956.66504,0,0.0,1.avi
9381,19,3.8,63,150,764.3728,0,0.0,1.avi
9382,19,3.8,984,612,548.72504,0,0.0,1.avi
9383,19,3.8,891,666,785.096,0,0.0,1.avi
9384,19,3.8,461,930,162.98534,0,0.0,1.avi
9385,20,4.0,596,589,990.8966,0,0.0,1.avi
9386,20,4.0,1260,750,589.6364,0,0.0,1.avi
9367,21,4.2,1210,807,703.08655,0,139.6318827026504,1.avi
9387,21,4.2,1195,663,559.79816,0,0.0,1.avi
9388,21,4.2,1126,877,623.2918,0,0.0,1.avi
9389,0,0.0,1266,290,410.72818,0,0.0,3.avi
9390,0,0.0,692,570,342.67447,0,0.0,3.avi
9391,1,0.2,772,571,410.04968,0,0.0,3.avi
9392,1,0.2,1212,669,518.15466,0,0.0,3.avi
9393,1,0.2,577,40,444.21686,0,0.0,3.avi
9394,1,0.2,1100,6,417.2768,0,0.0,3.avi
9395,2,0.4,989,774,474.8713,0,0.0,3.avi
9396,3,0.6,1229,387,758.3226,0,0.0,3.avi
9397,3,0.6,1010,95,416.25677,0,0.0,3.avi
9398,3,0.6,833,830,248.94069,0,0.0,3.avi
9399,3,0.6,781,884,506.4834,0,0.0,3.avi
9389,4,0.8,1258,267,907.3036,0,118.32887202435106,3.avi
9400,4,0.8,1090,42,1080.4249,0,0.0,3.avi
9401,4,0.8,1204,592,376.90173,0,0.0,3.avi
9402,4,0.8,1071,509,753.38947,0,0.0,3.avi
9403,4,0.8,996,514,294.19644,0,0.0,3.avi
9404,4,0.8,704,988,241.22322,0,0.0,3.avi
9405,4,0.8,1003,531,439.94852,0,0.0,3.avi
9406,4,0.8,608,774,140.30095,0,0.0,3.avi
9392,5,1.0,1183,639,325.04898,0,211.50996501229443,3.avi
9407,5,1.0,1192,398,357.16397,0,0.0,3.avi
9408,5,1.0,1084,760,359.71124,0,0.0,3.avi
9409,5,1.0,868,688,654.9869,0,0.0,3.avi
9410,5,1.0,1095,328,594.1222,0,0.0,3.avi
9411,6,1.2,612,215,758.38074,0,0.0,3.avi
9412,6,1.2,973,923,358.14026,0,0.0,3.avi
9413,6,1.2,1084,572,342.691,0,0.0,3.avi
9414,6,1.2,1086,804,303.17413,0,0.0,3.avi
9415,6,1.2,985,489,562.8838,0,0.0,3.avi
9416,6,1.2,1057,939,352.06876,0,0.0,3.avi
9417,6,1.2,1043,674,454.4417,0,0.0,3.avi
9418,7,1.4,932,847,396.21814,0,0.0,3.avi
9419,7,1.4,1000,963,342.8048,0,0.0,3.avi
9395,8,1.6,1008,794,359.2345,0,139.08087032211532,3.avi
9420,8,1.6,1188,522,462.72385,0,0.0,3.avi
9421,8,1.6,824,140,481.0347,0,0.0,3.avi
9422,8,1.6,828,1014,387.96033,0,0.0,3.avi
9423,8,1.6,1129,163,313.523,0,0.0,3.avi
9408,9,1.8,1096,759,611.61993,0,63.113720566716935,3.avi
9424,9,1.8,1029,342,297.47153,0,0.0,3.avi
9425,9,1.8,1261,625,446.3299,0,0.0,3.avi
9426,9,1.8,863,821,323.5983,0,0.0,3.avi
9427,9,1.8,920,973,326.70892,0,0.0,3.avi
9428,9,1.8,743,115,289.28915,0,0.0,3.avi
9429,10,2.0,1017,925,557.2553,0,0.0,3.avi
9430,10,2.0,761,491,536.0669,0,0.0,3.avi
9431,10,2.0,937,517,300.35046,0,0.0,3.avi
9432,10,2.0,772,994,319.42365,0,0.0,3.avi
9433,10,2.0,634,12,345.16782,0,0.0,3.avi
9434,10,2.0,635,288,273.27036,0,0.0,3.avi
9435,10,2.0,558,377,345.84647,0,0.0,3.avi
9436,10,2.0,1181,791,477.03928,0,0.0,3.avi
9409,11,2.2,853,689,319.8147,0,71.26690032853809,3.avi
9437,11,2.2,1064,838,473.78937,0,0.0,3.avi
9438,11,2.2,1228,527,269.15173,0,0.0,3.avi
9439,12,2.4,775,856,300.97284,0,0.0,3.avi
9440,12,2.4,1180,633,271.93808,0,0.0,3.avi
