tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,avg_nonzero_speed,area_change_ratio,speed_variation
9367,568.786,189.93,434.485,703.087,703.087,434.485,69.816,139.632,98.735,1.2,2,139.632,0.618,1.414
9389,659.016,351.132,410.728,907.304,907.304,410.728,59.164,118.329,83.671,0.8,2,118.329,1.209,1.414
9392,421.602,136.546,518.155,325.049,518.155,325.049,105.755,211.51,149.56,0.8,2,211.51,-0.373,1.414
9395,417.053,81.768,474.871,359.234,474.871,359.234,69.54,139.081,98.345,1.2,2,139.081,-0.244,1.414
9408,422.757,139.567,359.711,433.595,611.62,286.1,52.99,131.795,58.913,1.8,4,70.653,0.205,1.112
9409,487.401,237.003,654.987,319.815,654.987,319.815,35.633,71.267,50.393,1.2,2,71.267,-0.512,1.414
9448,745.542,387.424,1019.492,471.591,1019.492,471.591,65.956,131.911,93.275,1.2,2,131.911,-0.537,1.414
9482,706.031,409.065,416.778,995.284,995.284,416.778,35.912,71.825,50.788,0.4,2,71.825,1.388,1.414
9509,576.06,221.83,419.202,732.917,732.917,419.202,79.896,159.792,112.99,0.2,2,159.792,0.748,1.414
9520,393.91,50.063,358.51,429.31,429.31,358.51,89.178,178.356,126.117,1.0,2,178.356,0.197,1.414
9538,737.996,22.973,721.751,754.24,754.24,721.751,60.204,120.409,85.142,0.2,2,120.409,0.045,1.414
9548,930.261,187.306,1062.706,797.816,1062.706,797.816,45.182,90.363,63.896,1.0,2,90.363,-0.249,1.414
9556,376.056,277.081,571.981,180.13,571.981,180.13,11.883,23.765,16.805,0.6,2,23.765,-0.685,1.414
9582,366.705,17.387,378.999,354.41,378.999,354.41,27.06,54.12,38.268,0.8,2,54.12,-0.065,1.414
9602,749.407,364.847,491.421,1007.392,1007.392,491.421,62.096,124.192,87.817,0.8,2,124.192,1.05,1.414
9668,561.539,77.212,616.136,506.942,616.136,506.942,67.864,135.728,95.974,0.2,2,135.728,-0.177,1.414
9715,212.96,99.01,282.97,142.949,282.97,142.949,26.748,53.495,37.827,0.8,2,53.495,-0.495,1.414
9723,204.017,14.018,194.104,213.929,213.929,194.104,27.593,55.186,39.023,0.2,2,55.186,0.102,1.414
9724,753.859,56.69,734.068,706.108,896.696,706.108,27.034,132.709,35.794,2.6,12,29.492,-0.038,1.324
9739,937.244,53.697,899.274,975.214,975.214,899.274,68.658,137.317,97.098,0.2,2,137.317,0.084,1.414
9749,284.745,6.515,282.204,279.742,294.564,279.591,41.828,172.674,65.75,1.0,6,50.194,-0.009,1.572
9762,1451.929,46.591,1534.387,1503.529,1536.228,1380.814,25.341,143.227,31.437,3.8,20,26.674,-0.02,1.241
9763,1323.46,39.893,1306.282,1361.537,1361.537,1275.52,49.041,137.925,60.862,0.6,4,65.388,0.042,1.241
9765,1308.618,39.501,1278.338,1294.627,1355.299,1240.838,28.371,159.367,44.875,2.0,11,31.209,0.013,1.582
9766,552.224,13.719,566.375,538.983,566.375,538.983,64.834,150.274,77.227,0.4,3,97.251,-0.048,1.191
9775,9379.741,3203.755,2147.356,798.213,12894.455,798.213,15.283,77.127,15.386,11.0,56,15.561,-0.628,1.007
9776,327.622,10.837,319.959,335.285,335.285,319.959,17.505,35.01,24.756,0.2,2,35.01,0.048,1.414
9777,618.956,38.496,616.246,581.887,658.736,581.887,13.634,29.734,15.019,0.4,3,20.452,-0.056,1.102
9778,470.106,15.112,459.269,463.68,487.37,459.269,14.834,31.674,15.932,0.4,3,22.251,0.01,1.074
9779,796.09,17.708,812.461,777.296,812.461,777.296,10.024,17.9,9.141,0.4,3,15.036,-0.043,0.912
9780,261.073,8.996,267.434,254.712,267.434,254.712,11.755,23.51,16.624,0.2,2,23.51,-0.048,1.414
9782,578.486,12.748,584.77,563.816,586.873,563.816,8.05,12.175,6.972,0.4,3,12.075,-0.036,0.866
9783,267.973,0.436,267.664,268.281,268.281,267.664,5.97,11.94,8.443,0.2,2,11.94,0.002,1.414
9784,513.225,41.734,533.979,465.183,540.513,465.183,11.737,18.815,10.236,0.4,3,17.605,-0.129,0.872
9785,402.547,6.33,398.788,398.996,409.855,398.788,5.18,8.376,4.526,0.4,3,7.769,0.001,0.874
9786,426.911,23.306,450.627,404.038,450.627,404.038,7.67,12.372,6.699,0.4,3,11.506,-0.103,0.873
9787,629.755,20.286,650.024,633.897,650.024,608.173,13.903,25.753,9.595,0.8,5,17.379,-0.025,0.69
9789,456.802,11.407,462.512,462.262,469.537,442.6,12.99,22.22,8.32,0.8,5,16.237,-0.001,0.641
9790,271.467,12.735,280.472,262.462,280.472,262.462,4.288,8.576,6.064,0.2,2,8.576,-0.064,1.414
9791,542.057,41.943,560.102,479.218,564.56,479.218,31.418,65.595,27.049,1.0,4,41.891,-0.144,0.861
